Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Icuriosity1;Icuriosity1-quantised;Dcuriosity1;Dcuriosity1-quantised;Icuriosity2;Icuriosity2-quantised;Dcuriosity2;Dcuriosity2-quantised;Icuriosity3;Icuriosity3-quantised;Dcuriosity3;Dcuriosity3-quantised;Icuriosity4;Icuriosity4-quantised;Dcuriosity4;Dcuriosity4-quantised;Icuriosity5;Icuriosity5-quantised;Dcuriosity5;Dcuriosity5-quantised;END QUESTIONNAIRE
1;1634715251740;20/10/2021 07:34:11;1634715251619;3;20/10/2021 10:34:11;55551;22;questionnaire-2wlk;;16526214;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Epistemic Curiosity Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;No;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;62408
1;1635859355954;02/11/2021 13:22:35;1635859355059;1;02/11/2021 14:22:35;55551;22;questionnaire-2wlk;;16829750;BLIND;4978306;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.69;1536x864;1442x712;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;3;3;5;5;4;4;5;5;5;5;5;5;4;4;36605
1;1641896119944;11/01/2022 10:15:19;1641896119711;2;11/01/2022 12:15:19;55551;22;questionnaire-2wlk;;18420846;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;5;5;2;2;5;5;3;3;4;4;4;4;4;4;5;5;61654
1;1641845091621;10/01/2022 20:04:51;1641845091420;2;10/01/2022 22:04:51;55551;22;questionnaire-2wlk;;18413823;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;4;4;4;4;5;5;3;3;4;4;4;4;3;3;4;4;54439
1;1641831081361;10/01/2022 16:11:21;1641831081192;2;10/01/2022 18:11:21;55551;22;questionnaire-2wlk;;18406846;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;5;5;3;3;5;5;4;4;5;5;4;4;4;4;4;4;27709
1;1641824273856;10/01/2022 14:17:53;1641824273796;2;10/01/2022 16:17:53;55551;22;questionnaire-2wlk;;18402235;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;3;3;2;2;3;3;3;3;4;4;5;5;3;3;3;3;64492
1;1641766575265;09/01/2022 22:16:15;1641766575107;2;10/01/2022 00:16:15;55551;22;questionnaire-2wlk;;18391530;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;5;5;2;2;5;5;3;3;5;5;4;4;4;4;2;2;36163
1;1641764861894;09/01/2022 21:47:41;1641764861795;2;09/01/2022 23:47:41;55551;22;questionnaire-2wlk;;18391314;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1280x603;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;5;5;3;3;5;5;2;2;4;4;5;5;3;3;4;4;76172
1;1641667417276;08/01/2022 18:43:37;1641667417127;2;08/01/2022 20:43:37;55551;22;questionnaire-2wlk;;18375992;BLIND;5440344;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x821;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;5;5;3;3;5;5;4;4;3;3;5;5;5;5;5;5;41592
1;1641563337121;07/01/2022 13:48:57;1641563335429;2;07/01/2022 15:48:55;55551;22;questionnaire-2wlk;;18354778;BLIND;5435499;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1200;1504x952;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;2;2;5;5;3;3;4;4;3;3;4;4;3;3;61256
