Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;sc-1;sc-1-text;sc-1-quantised;sc-2;sc-2-text;sc-2-quantised;sc-3;sc-3-text;sc-3-quantised;sc-4;sc-4-text;sc-4-quantised;END QUESTIONNAIRE
1;1642099188520;13/01/2022 18:39:48;1642099188261;2;13/01/2022 20:39:48;55551;24;questionnaire-go4a;;18499902;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;30264
1;1642148041201;14/01/2022 08:14:01;1642148040333;2;14/01/2022 10:14:00;55551;24;questionnaire-go4a;;18506788;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Science Curiosity Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;60353
1;1642173933330;14/01/2022 15:25:33;1642173933230;2;14/01/2022 17:25:33;55551;24;questionnaire-go4a;;18514624;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;41921
1;1642267648969;15/01/2022 17:27:28;1642267650833;2;15/01/2022 19:27:30;55551;24;questionnaire-go4a;;18537101;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Yhtä;;2;Eri mieltä;;2;Ei eri eikä samaa mieltä;;3;71609
1;1642268536694;15/01/2022 17:42:16;1642268536606;2;15/01/2022 19:42:16;55551;24;questionnaire-go4a;;18537352;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1192x664;Openminded Chunk;Science Curiosity Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Kahta;;3;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;69940
1;1642275256236;15/01/2022 19:34:16;1642275253419;2;15/01/2022 21:34:13;55551;24;questionnaire-go4a;;18538600;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Science Curiosity Scale (Finnish);7;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;53832
1;1642328951494;16/01/2022 10:29:11;1642328952713;2;16/01/2022 12:29:12;55551;24;questionnaire-go4a;;18543292;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Science Curiosity Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;30154
1;1642330404275;16/01/2022 10:53:24;1642330404140;2;16/01/2022 12:53:24;55551;24;questionnaire-go4a;;18543468;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Science Curiosity Scale (Finnish);7;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;En yhtään;;1;Samaa mieltä;;4;Samaa mieltä;;4;23596
1;1642435143793;17/01/2022 15:59:03;1642435142907;2;17/01/2022 17:59:02;55551;24;questionnaire-go4a;;18569400;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Science Curiosity Scale (Finnish);7;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Yhtä;;2;Samaa mieltä;;4;Samaa mieltä;;4;70409
1;1642447106773;17/01/2022 19:18:26;1642447095626;2;17/01/2022 21:18:15;55551;24;questionnaire-go4a;;18576029;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Science Curiosity Scale (Finnish);7;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Yhtä;;2;Samaa mieltä;;4;Samaa mieltä;;4;93825
