Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;ConsentFlag;END QUESTIONNAIRE
1;1642768066891;21/01/2022 12:27:46;1642768067110;2;21/01/2022 14:27:47;55551;25;questionnaire-o43u;;18721808;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Study Information and Consent (Finnish);16;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;1860080
1;1642789038145;21/01/2022 18:17:18;1642789037767;2;21/01/2022 20:17:17;55551;25;questionnaire-o43u;;18738641;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;Study Information and Consent (Finnish);16;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;55826
1;1642854958518;22/01/2022 12:35:58;1642855021565;2;22/01/2022 14:37:01;55551;25;questionnaire-o43u;;18756136;BLIND;5552405;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x625;Decision Chunk;Study Information and Consent (Finnish);16;CDBEAFNGMHLIKJ;Decision Chunk;;;;No;1;53536
1;1642889693138;22/01/2022 22:14:53;1642889692528;2;23/01/2022 00:14:52;55551;25;questionnaire-o43u;;18767641;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;Study Information and Consent (Finnish);16;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;7575
1;1642927590123;23/01/2022 08:46:30;1642927589719;2;23/01/2022 10:46:29;55551;25;questionnaire-o43u;;18771405;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;Study Information and Consent (Finnish);16;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;65252
1;1642933515680;23/01/2022 10:25:15;1642933514351;2;23/01/2022 12:25:14;55551;25;questionnaire-o43u;;18772854;BLIND;5556093;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1366x768;1301x626;Openminded Chunk;Study Information and Consent (Finnish);16;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;44968
1;1642950617194;23/01/2022 15:10:17;1642950622282;2;23/01/2022 17:10:22;55551;25;questionnaire-o43u;;18779354;BLIND;5557743;;live;;;computer;Desktop or Laptop;Mac OS 10.11.6;Chrome 49.0.2623.112;1440x900;1440x805;Decision Chunk;Study Information and Consent (Finnish);16;FGEHDICJBKALNM;Decision Chunk;;;;No;1;122374
1;1642968441632;23/01/2022 20:07:21;1642968441017;2;23/01/2022 22:07:21;55551;25;questionnaire-o43u;;18787518;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1302x690;Openminded Chunk;Study Information and Consent (Finnish);16;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;164138
1;1643021246347;24/01/2022 10:47:26;1643021246195;2;24/01/2022 12:47:26;55551;25;questionnaire-o43u;;18797825;BLIND;5562166;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1462x762;Openminded Chunk;Study Information and Consent (Finnish);16;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;80719
1;1643047908416;24/01/2022 18:11:48;1643047907397;2;24/01/2022 20:11:47;55551;25;questionnaire-o43u;;18821550;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Study Information and Consent (Finnish);16;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;16239
