Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Text;Likert;Source;Source_topic;ShowProgressBar
1;1642095811702;13/01/2022 17:43:31;1642095811578;2;13/01/2022 19:43:31;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;
2;1642095813640;13/01/2022 17:43:33;1642095813388;2;13/01/2022 19:43:33;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;1758;;;;;0;1;0;;;;;;Instructions;;;;;;
3;1642095904784;13/01/2022 17:45:04;1642095904679;2;13/01/2022 19:45:04;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;2;Screen 2;advancementZone;continue_button;91278;;;;;0;1;0;;;;;;Instructions;;;;;;
4;1642095908352;13/01/2022 17:45:08;1642095908276;2;13/01/2022 19:45:08;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;3;Screen 3;advancementZone;continue_button;3564;;;;;0;1;0;;;;;;Instructions;;;;;;
5;1642095911540;13/01/2022 17:45:11;1642095911415;2;13/01/2022 19:45:11;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone2;response_rating_scale_likert_active;3108;;;En osaa sanoa;1;0;1;0;;;;;;Initial_assessment;;Kuinka todennäköisesti tukisit tätä kansalaisaloitetta?;Varmasti en, Luultavasti en, En osaa sanoa, Luultavasti kyllä, Varmasti kyllä;;;
6;1642095914146;13/01/2022 17:45:14;1642095913964;2;13/01/2022 19:45:13;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;2;1;Screen 1;Zone2;response_rating_scale_likert_active;2521;;;Ei ollenkaan tuttu;1;0;1;0;;;;;;Initial_assessment;;Kuinka tuttu tämä aihe on sinulle?;Ei ollenkaan tuttu, Hiukan tuttu, Jokseenkin tuttu, Hyvin tuttu, Erittäin tuttu;;;
7;1642095916834;13/01/2022 17:45:16;1642095916744;2;13/01/2022 19:45:16;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;3;1;Screen 1;Zone2;response_rating_scale_likert_active;2713;;;Jokseenkin kiinnostava;1;0;1;0;;;;;;Initial_assessment;;Kuinka kiinnostava tämän kansalaisaloitteen aihe on mielestäsi?;Ei ollenkaan kiinnostava, Hiukan kiinnostava, Jokseenkin kiinnostava, Hyvin kiinnostava, Erittäin kiinnostava;;;
8;1642095923129;13/01/2022 17:45:23;1642095923042;2;13/01/2022 19:45:23;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;5;4;1;Screen 1;Zone2;response_rating_scale_likert_active;6218;;;Hiukan uteliaasti;1;0;1;0;;;;;;Initial_assessment;;Kuinka uteliaasti suhtaudut tämän kansalaisaloitteen aiheeseen?;En ollenkaan uteliaasti, Hiukan uteliaasti, Jokseenkin uteliaasti, Hyvin uteliaasti, Erittäin uteliaasti;;;
9;1642095930529;13/01/2022 17:45:30;1642095930356;2;13/01/2022 19:45:30;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;6;1;1;Screen 1;Zone8;response_button_image;7237;;;SAM_1.7.PNG;1;0;1;0;;;;;;SAM1;;;;;;
10;1642095938574;13/01/2022 17:45:38;1642095938364;2;13/01/2022 19:45:38;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;6;1;2;Screen 2;Zone18;response_button_image;7951;;;SAM_2.1.PNG;1;0;1;0;;;;;;SAM1;;;;;;
11;1642096180193;13/01/2022 17:49:40;1642096179839;2;13/01/2022 19:49:39;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;1;Screen 1;advancementZone;continue_button;241398;;;;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
12;1642096185529;13/01/2022 17:49:45;1642096185252;2;13/01/2022 19:49:45;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;2;Screen 5;Zone8;response_button_image;5338;;;SAM_1.7.PNG;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
13;1642096188145;13/01/2022 17:49:48;1642096188048;2;13/01/2022 19:49:48;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;3;Screen 6;Zone18;response_button_image;2738;;;SAM_2.1.PNG;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
14;1642096264132;13/01/2022 17:51:04;1642096263877;2;13/01/2022 19:51:03;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;4;Screen 3;Zone3;response_rating_scale_likert;75794;;;Ei epäluotettava eikä luotettava;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
15;1642096264269;13/01/2022 17:51:04;1642096263881;2;13/01/2022 19:51:03;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;4;Screen 3;Zone5;response_text_area;75794;;;Kyseessä oli mielipidekirjoitus, joka ymmärtääkseni on siis vain kirjoittajan mielipide. En tiedä mihin hän mielipiteensä perustaa, mutta se ei myöskään vaikuttanut absurdilta tai kohtuuttomalta.;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
16;1642096264269;13/01/2022 17:51:04;1642096263882;2;13/01/2022 19:51:03;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;4;Screen 3;Zone6;continue_button;75794;;;;;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
17;1642096275758;13/01/2022 17:51:15;1642096275505;2;13/01/2022 19:51:15;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;5;Screen 10;Zone3;response_rating_scale_likert_active;11602;;;Ei ollenkaan;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
18;1642096303988;13/01/2022 17:51:43;1642096303733;2;13/01/2022 19:51:43;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;6;Screen 4;Zone3;response_rating_scale_likert_active;28194;;;Neutraali;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
19;1642096309347;13/01/2022 17:51:49;1642096309085;2;13/01/2022 19:51:49;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;7;Screen 2;Zone3;response_rating_scale_likert_active;5319;;;Luultavasti en;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
20;1642096313783;13/01/2022 17:51:53;1642096313660;2;13/01/2022 19:51:53;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;8;Screen 11;Zone3;response_rating_scale_likert_active;4546;;;En osaa sanoa;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
21;1642096318007;13/01/2022 17:51:58;1642096317730;2;13/01/2022 19:51:57;55551;24;task-zryk;;18498730;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);19;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;1;9;Screen 7;Zone3;response_rating_scale_likert_active;4037;;;Ei ollenkaan tuttu;1;0;1;0;;;;;1;Reading;;;;"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>";Palaako peltoviljely pääosin kangasmaille?;1
