Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Validity;Validity-text;Validity-quantised;study-comment;END QUESTIONNAIRE
1;1642101358071;13/01/2022 19:15:58;1642101357759;2;13/01/2022 21:15:57;55551;24;questionnaire-81k4;;18500495;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Validity check self report (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;29964
1;1642152027523;14/01/2022 09:20:27;1642152026726;2;14/01/2022 11:20:26;55551;24;questionnaire-81k4;;18507397;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Validity check self report (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;"H, T, N tehtävä oli inhottava.
Ihan hauskaa osallistua.";65251
1;1642177036252;14/01/2022 16:17:16;1642177036136;2;14/01/2022 18:17:16;55551;24;questionnaire-81k4;;18515996;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Validity check self report (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;16361
1;1642270846586;15/01/2022 18:20:46;1642270848409;2;15/01/2022 20:20:48;55551;24;questionnaire-81k4;;18537734;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Validity check self report (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;22425
1;1642270941778;15/01/2022 18:22:21;1642270941683;2;15/01/2022 20:22:21;55551;24;questionnaire-81k4;;18537744;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1190x664;Openminded Chunk;Validity check self report (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;"Olipa aika massiivinen testi, mutta mileenkiintoinen!
";87963
1;1642277436307;15/01/2022 20:10:36;1642277433454;2;15/01/2022 22:10:33;55551;24;questionnaire-81k4;;18538906;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Validity check self report (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Olipa mielenkiintoinen kokemus! Se T-H-N oli näistä tehtävistä vaikein. Huomasi takovansa välilyöntiä rutiininomaisesti ja turtuneena. ;119208
1;1642330565257;16/01/2022 10:56:05;1642330565126;2;16/01/2022 12:56:05;55551;24;questionnaire-81k4;;18543481;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Validity check self report (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;10648
1;1642356172638;16/01/2022 18:02:52;1642356174503;2;16/01/2022 20:02:54;55551;24;questionnaire-81k4;;18548156;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Validity check self report (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;23883
1;1642435216611;17/01/2022 16:00:16;1642435215731;2;17/01/2022 18:00:15;55551;24;questionnaire-81k4;;18569467;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Validity check self report (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Mielenkiintoinen tutkimuskyselytehtävä tämä, vaikka joitakin itselle aivan vieraita ja vaikeita asioita ja keskittymisessäkin hankaluutta osassa tehtäviä. Pos.yllätyin kuinka nopea olin joissakin...;124047
1;1642447734741;17/01/2022 19:28:54;1642447723558;2;17/01/2022 21:28:43;55551;24;questionnaire-81k4;;18576249;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Validity check self report (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Olisi mielenkiintoista tietää miten tutkimus oli suunniteltu ja mitä erilaiset tehtävät mittaavat. ;49844
1;1642516637333;18/01/2022 14:37:17;1642516637198;2;18/01/2022 16:37:17;55551;24;questionnaire-81k4;;18597594;BLIND;5504593;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1440x900;1440x750;Openminded Chunk;Validity check self report (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;18242
1;1642527408440;18/01/2022 17:36:48;1642527408199;2;18/01/2022 19:36:48;55551;24;questionnaire-81k4;;18606796;BLIND;5506382;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1280x800;1279x639;Openminded Chunk;Validity check self report (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;17005
1;1642527928180;18/01/2022 17:45:28;1642527928081;2;18/01/2022 19:45:28;55551;24;questionnaire-81k4;;18607188;BLIND;5507405;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1352x811;Openminded Chunk;Validity check self report (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;En ole varma teinkö käyttötarkoitusten keksimistehtävän oikein. Kirjoitin kaikki vastaukset samaan tilaan.;67708
1;1642533517187;18/01/2022 19:18:37;1642533517088;2;18/01/2022 21:18:37;55551;24;questionnaire-81k4;;18618938;BLIND;5505611;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 96.0.4664.110;1366x768;1356x589;Openminded Chunk;Validity check self report (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;"Oli hämmentävää noudattaa tehtävien ohjeita, kun tutkimus vaikuttaa tarkastelevan sitä, miten ihmiset suhtautuvat lukemaansa tietoon. Tuli sellainen olo, että pitäisikö sitä ehkä osata suhtautua kriittisesti myös niihin asioihin, mitä tehtävänannoissa sanotaan, esim. ""ensimmäinen mieleentuleva vastaus on todennäköisesti paras"". Kirjaintestit olivat tosi epämiellyttäviä, samoin nuo viimeisen osion epämääräiset kysymykset, ja tässä meni kyllä monta tuntia.";375406
1;1642605194072;19/01/2022 15:13:14;1642605193958;2;19/01/2022 17:13:13;55551;24;questionnaire-81k4;;18643745;BLIND;5517409;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1600x789;Openminded Chunk;Validity check self report (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Minua ei häirinnyt, mutta ne vilkkuvat kirjaimet (T H N ja S H) voivat laukaista herkimmille migreenikohtauksen?;58377
1;1642616843242;19/01/2022 18:27:23;1642616843171;2;19/01/2022 20:27:23;55551;24;questionnaire-81k4;;18653633;BLIND;5520492;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1920x1080;996x820;Openminded Chunk;Validity check self report (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Minulla on ennakkoasenne soiden suhteen: energiakäyttö pitäisi lopettaa.;49938
END OF FILE
