Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;closure1;closure1-quantised;closure2;closure2-quantised;closure3;closure3-quantised;closure4;closure4-quantised;closure5;closure5-quantised;closure6;closure6-quantised;closure7;closure7-quantised;closure8;closure8-quantised;closure9;closure9-quantised;closure10;closure10-quantised;closure11;closure11-quantised;closure12;closure12-quantised;closure13;closure13-quantised;closure14;closure14-quantised;closure15;closure15-quantised;END QUESTIONNAIRE
1;1645434359949;21/02/2022 09:05:59;1645434359781;2;21/02/2022 11:05:59;55551;25;questionnaire-mz16;;19633287;BLIND;5828423;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1920x1080;1569x849;Reasoning Chunk;Need for Closure Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3;3;2;2;3;3;5;5;3;3;2;2;5;5;6;6;2;2;6;6;2;2;2;2;4;4;2;2;2;2;65400
1;1645497232588;22/02/2022 02:33:52;1645497232373;2;22/02/2022 04:33:52;55551;25;questionnaire-mz16;;19668612;BLIND;5842153;;complete;;;computer;Desktop or Laptop;Windows 8.1;Edge 98.0.1108.43;1920x1200;777x481;Openminded Chunk;Need for Closure Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;3;3;2;2;2;2;1;1;1;1;2;2;3;3;2;2;1;1;1;1;2;2;2;2;1;1;1;1;64411
1;1645525914451;22/02/2022 10:31:54;1645525914278;2;22/02/2022 12:31:54;55551;25;questionnaire-mz16;;19673976;BLIND;5844536;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.0;1920x1080;1292x823;Science Chunk;Need for Closure Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;;;No;4;4;2;2;4;4;2;2;3;3;2;2;4;4;2;2;3;3;3;3;2;2;4;4;4;4;2;2;3;3;160722
1;1645529715159;22/02/2022 11:35:15;1645529714346;2;22/02/2022 13:35:14;55551;25;questionnaire-mz16;;19675876;BLIND;5845513;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.56;1280x720;1280x578;Openminded Chunk;Need for Closure Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;2;2;6;6;1;1;6;6;5;5;5;5;3;3;5;5;6;6;5;5;3;3;1;1;5;5;131120
1;1645545714080;22/02/2022 16:01:54;1645545732725;2;22/02/2022 18:02:12;55551;25;questionnaire-mz16;;19687671;BLIND;5849414;;complete;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.99;1366x768;1227x582;Openminded Chunk;Need for Closure Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;3;3;2;2;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;2;2;132789
1;1645690146266;24/02/2022 08:09:06;1645690146170;2;24/02/2022 10:09:06;55551;25;questionnaire-mz16;;19752368;BLIND;5867681;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 98.0.4758.80;1920x1080;1561x945;Openminded Chunk;Need for Closure Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;1;1;3;3;4;4;3;3;5;5;3;3;5;5;2;2;4;4;3;3;3;3;4;4;1;1;3;3;124901
1;1645782388211;25/02/2022 09:46:28;1645782388109;2;25/02/2022 11:46:28;55551;25;questionnaire-mz16;;19808530;BLIND;5879081;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 98.0.4758.102;2560x1440;2560x1329;Openminded Chunk;Need for Closure Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;5;5;5;5;2;2;6;6;5;5;3;3;3;3;5;5;5;5;5;5;5;5;2;2;4;4;103221
1;1645821456050;25/02/2022 20:37:36;1645821456371;2;25/02/2022 22:37:36;55551;25;questionnaire-mz16;;19847786;BLIND;5885149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1280x720;1280x609;Openminded Chunk;Need for Closure Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;4;4;3;3;4;4;4;4;6;6;3;3;4;4;5;5;3;3;4;4;4;4;3;3;2;2;82435
1;1645961159103;27/02/2022 11:25:59;1645961521786;2;27/02/2022 13:32:01;55551;25;questionnaire-mz16;;19872640;BLIND;5891043;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1920x1080;1382x773;Openminded Chunk;Need for Closure Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;4;4;4;4;3;3;3;3;4;4;4;4;3;3;4;4;3;3;4;4;4;4;4;4;3;3;97845
1;1645997623712;27/02/2022 21:33:43;1645997623011;2;27/02/2022 23:33:43;55551;25;questionnaire-mz16;;19881075;BLIND;5893310;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.56;1536x864;1536x754;Openminded Chunk;Need for Closure Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;4;4;5;5;5;5;6;6;5;5;6;6;6;6;6;6;6;6;2;2;2;2;1;1;3;3;66980
1;1646053522186;28/02/2022 13:05:22;1646053522060;2;28/02/2022 15:05:22;55551;25;questionnaire-mz16;;19894210;BLIND;5896498;;complete;;;computer;Desktop or Laptop;Mac OS 10.10.5;Chrome 87.0.4280.88;1440x900;1371x797;Openminded Chunk;Need for Closure Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;4;4;4;4;3;3;5;5;5;5;4;4;4;4;6;6;5;5;4;4;4;4;3;3;4;4;118281
END OF FILE
