Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;gender;gender-text;gender-quantised;Age;Age-text;Age-quantised;Country;Country-text;Country-quantised;Language;Language-text;Language-quantised;Education;Education-text;Education-quantised;END QUESTIONNAIRE
1;1632748118379;27/09/2021 13:08:38;1632748118127;3;27/09/2021 16:08:38;55551;22;questionnaire-c7cw;;16021435;BLIND;4733678;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.54;1920x1080;1399x809;Openminded Chunk;Demographics (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;32;;15;Suomi;;209;Ei ole / perusteet;;1;Tohtorintutkinto / lisensiaattitutkinto;;1;29071
1;1634040334088;12/10/2021 12:05:34;1634040333956;3;12/10/2021 15:05:33;55551;22;questionnaire-c7cw;;16325036;BLIND;4831351;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 94.0.4606.71;1440x900;1440x733;Openminded Chunk;Demographics (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;59;;42;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;30725
1;1634043249995;12/10/2021 12:54:09;1634043249859;3;12/10/2021 15:54:09;55551;22;questionnaire-c7cw;;16326566;BLIND;4831981;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.71;1280x720;1253x580;Openminded Chunk;Demographics (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;46;;29;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;25854
1;1634633804550;19/10/2021 08:56:44;1634633804453;3;19/10/2021 11:56:44;55551;22;questionnaire-c7cw;;16489248;BLIND;4877584;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;1920x1200;1260x654;Openminded Chunk;Demographics (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;27;;10;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;21077
1;1634710784977;20/10/2021 06:19:44;1634710784876;3;20/10/2021 09:19:44;55551;22;questionnaire-c7cw;;16525717;BLIND;4886552;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1280x720;1280x577;Openminded Chunk;Demographics (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;34;;17;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;23997
1;1634714936836;20/10/2021 07:28:56;1634714936714;3;20/10/2021 10:28:56;55551;22;questionnaire-c7cw;;16526167;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Demographics (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;No;Nainen;;1;39;;22;Suomi;;209;Sujuva / äidinkieli;;3;Tohtorintutkinto / lisensiaattitutkinto;;1;28525
1;1634716915854;20/10/2021 08:01:55;1634716915754;3;20/10/2021 11:01:55;55551;22;questionnaire-c7cw;;16526808;BLIND;4886771;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 91.0;2560x1440;2093x911;Reasoning Chunk;Demographics (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Nainen;;1;63;;46;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;26228
1;1634717467372;20/10/2021 08:11:07;1634717467263;3;20/10/2021 11:11:07;55551;22;questionnaire-c7cw;;16527042;BLIND;4886824;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1536x864;1536x722;Openminded Chunk;Demographics (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;30;;13;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;28561
1;1634719702776;20/10/2021 08:48:22;1634719702692;3;20/10/2021 11:48:22;55551;22;questionnaire-c7cw;;16528241;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Demographics (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En halua kertoa;;5;58;;41;Suomi;;209;Sujuva / äidinkieli;;3;Tohtorintutkinto / lisensiaattitutkinto;;1;25583
1;1634720492988;20/10/2021 09:01:32;1634720492796;3;20/10/2021 12:01:32;55551;22;questionnaire-c7cw;;16528757;BLIND;4879113;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 78.0;1536x864;1536x721;Openminded Chunk;Demographics (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;58;;41;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;29228
