Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;gender;gender-text;gender-quantised;Age;Age-text;Age-quantised;Country;Country-text;Country-quantised;Language;Language-text;Language-quantised;Education;Education-text;Education-quantised;END QUESTIONNAIRE
1;1642095784380;13/01/2022 17:43:04;1642095784278;2;13/01/2022 19:43:04;55551;24;questionnaire-c7cw;;18498716;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Demographics (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;27;;10;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;25367
1;1642145500747;14/01/2022 07:31:40;1642145499863;2;14/01/2022 09:31:39;55551;24;questionnaire-c7cw;;18506543;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1920x941;Openminded Chunk;Demographics (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;65;;48;Suomi;;209;Sujuva / äidinkieli;;3;Ylioppislastutkinto;;5;25135
1;1642170528001;14/01/2022 14:28:48;1642170527921;2;14/01/2022 16:28:47;55551;24;questionnaire-c7cw;;18513463;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x1007;Openminded Chunk;Demographics (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;27;;10;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;11724
1;1642264585264;15/01/2022 16:36:25;1642264585157;2;15/01/2022 18:36:25;55551;24;questionnaire-c7cw;;18536619;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1199x595;Openminded Chunk;Demographics (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;65;;48;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;46518
1;1642264651931;15/01/2022 16:37:31;1642264653796;2;15/01/2022 18:37:33;55551;24;questionnaire-c7cw;;18536632;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1876x899;Openminded Chunk;Demographics (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;61;;44;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;47962
1;1642271520313;15/01/2022 18:32:00;1642271517437;2;15/01/2022 20:31:57;55551;24;questionnaire-c7cw;;18537851;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1280x720;1280x595;Openminded Chunk;Demographics (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;56;;39;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;41059
1;1642279686033;15/01/2022 20:48:06;1642279684770;2;15/01/2022 22:48:04;55551;24;questionnaire-c7cw;;18539349;BLIND;5487301;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x657;Decision Chunk;Demographics (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;;;;No;Nainen;;1;52;;35;Suomi;;209;Sujuva / äidinkieli;;3;Ylioppislastutkinto;;5;51646
1;1642325355432;16/01/2022 09:29:15;1642325356582;2;16/01/2022 11:29:16;55551;24;questionnaire-c7cw;;18542436;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Demographics (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;26;;9;Suomi;;209;Sujuva / äidinkieli;;3;Ylioppislastutkinto;;5;31433
1;1642326488958;16/01/2022 09:48:08;1642326488809;2;16/01/2022 11:48:08;55551;24;questionnaire-c7cw;;18542726;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Demographics (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;29;;12;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;21227
1;1642421060816;17/01/2022 12:04:20;1642421060042;2;17/01/2022 14:04:20;55551;24;questionnaire-c7cw;;18558160;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Demographics (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;59;;42;Suomi;;209;Sujuva / äidinkieli;;3;Muu tutkinto, mikä?;opistotaso eli 3 v pisin, plus muita lyhyempiä;;121296
