Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;text
1;1641970668168;12/01/2022 06:57:48;1641970668061;2;12/01/2022 08:57:48;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;
2;1641970683110;12/01/2022 06:58:03;1641970683039;2;12/01/2022 08:58:03;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;14937.299999999814;;;;;0;1;0;;;;;;Instructions;
3;1641970686177;12/01/2022 06:58:06;1641970686118;2;12/01/2022 08:58:06;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;2;Screen 2;advancementZone;continue_button;3073.2000000001863;;;;;0;1;0;;;;;;Instructions;
4;1641970696163;12/01/2022 06:58:16;1641970696125;2;12/01/2022 08:58:16;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;3;Screen 3;Zone1;response_text_multi;10008.106;;;lämmönvaraa;;0;1;0;;;;;;Instructions;
5;1641970696283;12/01/2022 06:58:16;1641970696126;2;12/01/2022 08:58:16;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;3;Screen 3;Zone2;timelimit_screen;10008.106;;;;;0;1;0;;;1;;;Instructions;
6;1641970700841;12/01/2022 06:58:20;1641970700790;2;12/01/2022 08:58:20;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;4;Screen 4;advancementZone;continue_button;4659.700000000186;;;;;0;1;0;;;;;;Instructions;
7;1641970705422;12/01/2022 06:58:25;1641970705366;2;12/01/2022 08:58:25;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;4565.600000000559;3453.600000000559;;eriste;1;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
8;1641970707991;12/01/2022 06:58:27;1641970707949;2;12/01/2022 08:58:27;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;7149.4000000003725;5949.700000000186;;sytyke;2;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
9;1641970717037;12/01/2022 06:58:37;1641970717006;2;12/01/2022 08:58:37;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;16206;10101.900000000373;;paperimassan raaka-aine;3;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
10;1641970719041;12/01/2022 06:58:39;1641970718998;2;12/01/2022 08:58:38;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;18198;16989.900000000373;;verho;4;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
