Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;text
11;1641970721967;12/01/2022 06:58:41;1641970721933;2;12/01/2022 08:58:41;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;21133.700000000186;19014;;pöytäliina;5;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
12;1641970728731;12/01/2022 06:58:48;1641970728702;2;12/01/2022 08:58:48;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;27901.900000000373;22925.700000000186;;lahjapaperi;6;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
13;1641970734326;12/01/2022 06:58:54;1641970734278;2;12/01/2022 08:58:54;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;33478;29861.700000000186;;biojätebussi;7;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
14;1641970738348;12/01/2022 06:58:58;1641970738301;2;12/01/2022 08:58:58;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;37501.90000000037;34621.5;;kärpäslätkä;8;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
15;1641970741233;12/01/2022 06:59:01;1641970741181;2;12/01/2022 08:59:01;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;40381.40000000037;38173.700000000186;;ovistoppari;9;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
16;1641970748701;12/01/2022 06:59:08;1641970748654;2;12/01/2022 08:59:08;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;47854;41861.60000000056;;sateenvarjo;10;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
17;1641970753570;12/01/2022 06:59:13;1641970753526;2;12/01/2022 08:59:13;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;52726;52005.60000000056;;soitin;11;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
18;1641970758321;12/01/2022 06:59:18;1641970758278;2;12/01/2022 08:59:18;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;57478;54805.60000000056;;lyömäase;12;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
19;1641970773437;12/01/2022 06:59:33;1641970773398;2;12/01/2022 08:59:33;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;72598.10000000056;70821.90000000037;;imupaperi;13;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
20;1641970791635;12/01/2022 06:59:51;1641970791590;2;12/01/2022 08:59:51;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;90789.90000000037;81853.20000000019;;suodatin;14;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
21;1641970820057;12/01/2022 07:00:20;1641970820006;2;12/01/2022 09:00:20;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;119205.70000000019;112326;;siivousliina;15;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
22;1641970820819;12/01/2022 07:00:20;1641970820778;2;12/01/2022 09:00:20;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;response_text_multi;119999.41699999999;;;hat;;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
23;1641970820901;12/01/2022 07:00:20;1641970820779;2;12/01/2022 09:00:20;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone1;timelimit_screen;119999.41699999999;;;;;0;1;0;;;1;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
24;1641970824605;12/01/2022 07:00:24;1641970824566;2;12/01/2022 09:00:24;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;continue_button;3783.399999999441;;;;;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **sanomalehti**
25;1641970829549;12/01/2022 07:00:29;1641970829461;2;12/01/2022 09:00:29;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;4887;3463.7000000001863;;pöytä;1;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
26;1641970833339;12/01/2022 07:00:33;1641970833254;2;12/01/2022 09:00:33;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;8679.700000000186;7575.200000000186;;eriste;2;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
27;1641970839736;12/01/2022 07:00:39;1641970839701;2;12/01/2022 09:00:39;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;15126.799999999814;13983.299999999814;;lapio;3;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
28;1641970845819;12/01/2022 07:00:45;1641970845774;2;12/01/2022 09:00:45;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;21199.5;20447.599999999627;;kanki;4;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
29;1641970848381;12/01/2022 07:00:48;1641970848334;2;12/01/2022 09:00:48;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;23759.39999999944;22031.599999999627;;keinulauta;5;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
30;1641970859116;12/01/2022 07:00:59;1641970859078;2;12/01/2022 09:00:59;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;34503.59999999963;29655.299999999814;;ovistoppari;6;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
31;1641970871102;12/01/2022 07:01:11;1641970871057;2;12/01/2022 09:01:11;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;46480.39999999944;39296.59999999963;;maila erilaisiin peleihin ja urheiluun;7;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
32;1641970874544;12/01/2022 07:01:14;1641970874512;2;12/01/2022 09:01:14;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;49935.700000000186;48543.799999999814;;lyömäase;8;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
33;1641970882467;12/01/2022 07:01:22;1641970882424;2;12/01/2022 09:01:22;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;57847.200000000186;54535.59999999963;;kuntoiluapuväline;9;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
34;1641970892945;12/01/2022 07:01:32;1641970892912;2;12/01/2022 09:01:32;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;68335.29999999981;67327.20000000019;;hylly;10;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
35;1641970903320;12/01/2022 07:01:43;1641970903248;2;12/01/2022 09:01:43;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;78671.70000000019;76727.29999999981;;polttoaine;11;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
36;1641970924152;12/01/2022 07:02:04;1641970924106;2;12/01/2022 09:02:04;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;advancementZone;response_text_multi;99527.59999999963;89119.5;;taitelijantarvike, esim. maalauspohja;12;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
37;1641970944606;12/01/2022 07:02:24;1641970944575;2;12/01/2022 09:02:24;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;Zone1;timelimit_screen;119999.054;;;;;0;1;0;;;1;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
38;1641970947343;12/01/2022 07:02:27;1641970947306;2;12/01/2022 09:02:27;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;2;Screen 2;advancementZone;continue_button;2725.9000000003725;;;;;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **puinen lankku**
39;1641970975526;12/01/2022 07:02:55;1641970975482;2;12/01/2022 09:02:55;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;5;3;1;Screen 1;advancementZone;response_text_multi;28168.799999999814;6386.0999999996275;;resetointipiikki tai pienen ponnahduslukon avaaja erilaisille laitteille, esim. puhelimille;1;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
40;1641970979642;12/01/2022 07:02:59;1641970979610;2;12/01/2022 09:02:59;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;5;3;1;Screen 1;advancementZone;response_text_multi;32297.099999999627;31633.099999999627;;koru';2;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
41;1641970990146;12/01/2022 07:03:10;1641970990108;2;12/01/2022 09:03:10;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;5;3;1;Screen 1;advancementZone;response_text_multi;42792.39999999944;40216.799999999814;;pussinsuljin;3;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
42;1641971007193;12/01/2022 07:03:27;1641971007148;2;12/01/2022 09:03:27;55551;23;task-7mar;;18449326;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Unusual Uses Task (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;5;3;1;Screen 1;advancementZone;response_text_multi;59832.200000000186;51768.5;;siivousväline ahtaille raoille;4;0;1;0;;;;;1;Trials;Kirjoita kaikki mahdolliset käyttötavat seuraavalle esineelle: **paperiliitin**
