Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Image
1;1641971917894;12/01/2022 07:18:37;1641971917791;2;12/01/2022 09:18:37;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;
2;1641971926937;12/01/2022 07:18:46;1641971926901;2;12/01/2022 09:18:46;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;64;1;1;Screen 1;advancementZone;continue_keyboard;9070.5;;;;;0;1;0;;;;2;;Instructions2;;
3;1641971938928;12/01/2022 07:18:58;1641971938873;2;12/01/2022 09:18:58;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;65;1;1;Screen 1;advancementZone;continue_keyboard;11956.700000000186;;;;;0;1;0;;;;2;;practice2;S;bigHsmallS.png
4;1641971940970;12/01/2022 07:19:00;1641971940860;2;12/01/2022 09:19:00;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;65;1;2;Screen 2;fixation;fixation;2001.9579999999987;;;;;0;1;0;;;;2;;practice2;S;bigHsmallS.png
5;1641971941164;12/01/2022 07:19:01;1641971941111;2;12/01/2022 09:19:01;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;65;1;3;Screen 3;advancementZone;timelimit_screen;250.3739999999998;;;;;0;1;0;;;1;2;;practice2;S;bigHsmallS.png
6;1641971944807;12/01/2022 07:19:04;1641971944747;2;12/01/2022 09:19:04;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;65;1;4;Screen 4;buttonA;response_keyboard;3632.0999999996275;;;S;1;1;0;0;;;;2;;practice2;S;bigHsmallS.png
7;1641971949899;12/01/2022 07:19:09;1641971949867;2;12/01/2022 09:19:09;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;65;1;5;Screen 5;advancementZone;continue_keyboard;5114.300000000745;;;;;0;1;0;;;;2;;practice2;S;bigHsmallS.png
8;1641971951884;12/01/2022 07:19:11;1641971951854;2;12/01/2022 09:19:11;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;113;1;1;Screen 1;fixation;fixation;2001.6290000000008;;;;;0;1;0;;;;2;2;task2;H;bigSsmallH.png
9;1641971952143;12/01/2022 07:19:12;1641971952104;2;12/01/2022 09:19:12;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;113;1;2;Screen 2;advancementZone;timelimit_screen;250.04099999999744;;;;;0;1;0;;;1;2;2;task2;H;bigSsmallH.png
10;1641971953790;12/01/2022 07:19:13;1641971953755;2;12/01/2022 09:19:13;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;113;1;3;Screen 3;buttonB;response_keyboard;1646.8999999994412;;;H;1;1;0;0;;;;2;2;task2;H;bigSsmallH.png
11;1641971955783;12/01/2022 07:19:15;1641971955741;2;12/01/2022 09:19:15;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;119;2;1;Screen 1;fixation;fixation;2002.059000000001;;;;;0;1;0;;;;2;2;task2;H;bigSsmallH.png
12;1641971956025;12/01/2022 07:19:16;1641971955991;2;12/01/2022 09:19:15;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;119;2;2;Screen 2;advancementZone;timelimit_screen;250.08000000000175;;;;;0;1;0;;;1;2;2;task2;H;bigSsmallH.png
13;1641971957469;12/01/2022 07:19:17;1641971957435;2;12/01/2022 09:19:17;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;119;2;3;Screen 3;buttonB;response_keyboard;1440.5;;;H;1;1;0;0;;;;2;2;task2;H;bigSsmallH.png
14;1641971959469;12/01/2022 07:19:19;1641971959427;2;12/01/2022 09:19:19;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;99;3;1;Screen 1;fixation;fixation;2001.9700000000012;;;;;0;1;0;;;;2;2;task2;S;bigSsmallS.png
15;1641971959716;12/01/2022 07:19:19;1641971959677;2;12/01/2022 09:19:19;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;99;3;2;Screen 2;advancementZone;timelimit_screen;250.2829999999958;;;;;0;1;0;;;1;2;2;task2;S;bigSsmallS.png
16;1641971960537;12/01/2022 07:19:20;1641971960492;2;12/01/2022 09:19:20;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;99;3;3;Screen 3;buttonB;response_keyboard;810.2000000001863;;;S;1;1;0;0;;;;2;2;task2;S;bigSsmallS.png
17;1641971962523;12/01/2022 07:19:22;1641971962481;2;12/01/2022 09:19:22;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;94;4;1;Screen 1;fixation;fixation;2001.216999999997;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
18;1641971962764;12/01/2022 07:19:22;1641971962730;2;12/01/2022 09:19:22;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;94;4;2;Screen 2;advancementZone;timelimit_screen;250.4539999999979;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
19;1641971963550;12/01/2022 07:19:23;1641971963508;2;12/01/2022 09:19:23;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;94;4;3;Screen 3;buttonB;response_keyboard;774.2999999998137;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
20;1641971965538;12/01/2022 07:19:25;1641971965499;2;12/01/2022 09:19:25;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;116;5;1;Screen 1;fixation;fixation;2001.675000000003;;;;;0;1;0;;;;2;2;task2;H;bigSsmallH.png
21;1641971965791;12/01/2022 07:19:25;1641971965749;2;12/01/2022 09:19:25;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;116;5;2;Screen 2;advancementZone;timelimit_screen;250.17699999999604;;;;;0;1;0;;;1;2;2;task2;H;bigSsmallH.png
