Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Image
22;1641971966590;12/01/2022 07:19:26;1641971966548;2;12/01/2022 09:19:26;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;116;5;3;Screen 3;buttonB;response_keyboard;795.3000000007451;;;H;1;1;0;0;;;;2;2;task2;H;bigSsmallH.png
23;1641971968581;12/01/2022 07:19:28;1641971968535;2;12/01/2022 09:19:28;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;110;6;1;Screen 1;fixation;fixation;2001.698000000004;;;;;0;1;0;;;;2;2;task2;S;bigSsmallS.png
24;1641971968824;12/01/2022 07:19:28;1641971968784;2;12/01/2022 09:19:28;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;110;6;2;Screen 2;advancementZone;timelimit_screen;249.7410000000018;;;;;0;1;0;;;1;2;2;task2;S;bigSsmallS.png
25;1641971969503;12/01/2022 07:19:29;1641971969467;2;12/01/2022 09:19:29;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;110;6;3;Screen 3;buttonB;response_keyboard;678.7999999998137;;;S;1;1;0;0;;;;2;2;task2;S;bigSsmallS.png
26;1641971971491;12/01/2022 07:19:31;1641971971454;2;12/01/2022 09:19:31;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;117;7;1;Screen 1;fixation;fixation;2001.7739999999976;;;;;0;1;0;;;;2;2;task2;H;bigSsmallH.png
27;1641971971754;12/01/2022 07:19:31;1641971971704;2;12/01/2022 09:19:31;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;117;7;2;Screen 2;advancementZone;timelimit_screen;250.18300000000454;;;;;0;1;0;;;1;2;2;task2;H;bigSsmallH.png
28;1641971973789;12/01/2022 07:19:33;1641971973747;2;12/01/2022 09:19:33;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;117;7;3;Screen 3;buttonB;response_keyboard;2040.0999999996275;;;H;1;1;0;0;;;;2;2;task2;H;bigSsmallH.png
29;1641971975778;12/01/2022 07:19:35;1641971975740;2;12/01/2022 09:19:35;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;91;8;1;Screen 1;fixation;fixation;2001.8890000000029;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
30;1641971976043;12/01/2022 07:19:36;1641971975991;2;12/01/2022 09:19:35;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;91;8;2;Screen 2;advancementZone;timelimit_screen;250.17899999999645;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
31;1641971977153;12/01/2022 07:19:37;1641971977123;2;12/01/2022 09:19:37;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;91;8;3;Screen 3;buttonB;response_keyboard;1128.5999999996275;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
32;1641971979156;12/01/2022 07:19:39;1641971979109;2;12/01/2022 09:19:39;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;67;9;1;Screen 1;fixation;fixation;2001.4360000000015;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
33;1641971979406;12/01/2022 07:19:39;1641971979360;2;12/01/2022 09:19:39;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;67;9;2;Screen 2;advancementZone;timelimit_screen;250.23199999999633;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
34;1641971980437;12/01/2022 07:19:40;1641971980403;2;12/01/2022 09:19:40;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;67;9;3;Screen 3;buttonB;response_keyboard;1039.3999999994412;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
35;1641971982433;12/01/2022 07:19:42;1641971982396;2;12/01/2022 09:19:42;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;115;10;1;Screen 1;fixation;fixation;2001.275999999998;;;;;0;1;0;;;;2;2;task2;H;bigSsmallH.png
36;1641971982690;12/01/2022 07:19:42;1641971982647;2;12/01/2022 09:19:42;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;115;10;2;Screen 2;advancementZone;timelimit_screen;250.68700000000536;;;;;0;1;0;;;1;2;2;task2;H;bigSsmallH.png
37;1641971983291;12/01/2022 07:19:43;1641971983259;2;12/01/2022 09:19:43;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;115;10;3;Screen 3;buttonB;response_keyboard;608.0999999996275;;;H;1;1;0;0;;;;2;2;task2;H;bigSsmallH.png
38;1641971985291;12/01/2022 07:19:45;1641971985248;2;12/01/2022 09:19:45;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;80;11;1;Screen 1;fixation;fixation;2002.2330000000075;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
39;1641971985541;12/01/2022 07:19:45;1641971985499;2;12/01/2022 09:19:45;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;80;11;2;Screen 2;advancementZone;timelimit_screen;249.80899999999383;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
40;1641971986715;12/01/2022 07:19:46;1641971986684;2;12/01/2022 09:19:46;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;80;11;3;Screen 3;buttonB;response_keyboard;1180.5;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
41;1641971988719;12/01/2022 07:19:48;1641971988684;2;12/01/2022 09:19:48;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;81;12;1;Screen 1;fixation;fixation;2001.695000000007;;;;;0;1;0;;;;2;2;task2;H;bigHsmallH.png
42;1641971988977;12/01/2022 07:19:48;1641971988935;2;12/01/2022 09:19:48;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;81;12;2;Screen 2;advancementZone;timelimit_screen;250.06299999999464;;;;;0;1;0;;;1;2;2;task2;H;bigHsmallH.png
43;1641971989636;12/01/2022 07:19:49;1641971989603;2;12/01/2022 09:19:49;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;81;12;3;Screen 3;buttonB;response_keyboard;664.8999999994412;;;H;1;1;0;0;;;;2;2;task2;H;bigHsmallH.png
44;1641971991641;12/01/2022 07:19:51;1641971991603;2;12/01/2022 09:19:51;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;76;13;1;Screen 1;fixation;fixation;2001.6399999999994;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
45;1641971991891;12/01/2022 07:19:51;1641971991854;2;12/01/2022 09:19:51;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;76;13;2;Screen 2;advancementZone;timelimit_screen;250.47200000000885;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
46;1641971992556;12/01/2022 07:19:52;1641971992515;2;12/01/2022 09:19:52;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;76;13;3;Screen 3;buttonB;response_keyboard;657.6999999992549;;;S;1;1;0;0;;;;2;2;task2;S;bigHsmallS.png
47;1641971994539;12/01/2022 07:19:54;1641971994506;2;12/01/2022 09:19:54;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;73;14;1;Screen 1;fixation;fixation;2001.721000000005;;;;;0;1;0;;;;2;2;task2;S;bigHsmallS.png
48;1641971994790;12/01/2022 07:19:54;1641971994756;2;12/01/2022 09:19:54;55551;23;task-8mu5;;18449413;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Navon Task (BOTH CONDITIONS) (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;global;global;73;14;2;Screen 2;advancementZone;timelimit_screen;249.9780000000028;;;;;0;1;0;;;1;2;2;task2;S;bigHsmallS.png
