Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;gender;gender-text;gender-quantised;Age;Age-text;Age-quantised;Country;Country-text;Country-quantised;Language;Language-text;Language-quantised;Education;Education-text;Education-quantised;END QUESTIONNAIRE
1;1643730719477;01/02/2022 15:51:59;1643730720720;2;01/02/2022 17:52:00;55551;25;questionnaire-c7cw;;19059845;BLIND;5645930;;complete;;;computer;Desktop or Laptop;Windows 7;Chrome 97.0.4692.99;1920x1080;1920x969;Openminded Chunk;Demographics (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Muu;;4;52;;35;Suomi;;209;Sujuva / äidinkieli;;3;Ammattikoulututkinto;;4;31886
1;1643651761420;31/01/2022 17:56:01;1643651762184;2;31/01/2022 19:56:02;55551;25;questionnaire-c7cw;;19026850;BLIND;5635997;;live;;;computer;Desktop or Laptop;Windows 8.1;Firefox 96.0;1280x720;1280x570;Science Chunk;Demographics (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;;;No;Mies;;2;73;;56;Suomi;;209;Sujuva / äidinkieli;;3;Ammattikoulututkinto;;4;53967
1;1643645126148;31/01/2022 16:05:26;1643645119322;2;31/01/2022 18:05:19;55551;25;questionnaire-c7cw;;19021216;BLIND;5634435;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x754;Openminded Chunk;Demographics (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;29;;12;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;20349
1;1643628853969;31/01/2022 11:34:13;1643628837901;2;31/01/2022 13:33:57;55551;25;questionnaire-c7cw;;19010053;BLIND;5631076;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1440x900;1440x693;Openminded Chunk;Demographics (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;21;;4;Suomi;;209;Sujuva / äidinkieli;;3;Ylioppislastutkinto;;5;29970
1;1643616324992;31/01/2022 08:05:24;1643616324833;2;31/01/2022 10:05:24;55551;25;questionnaire-c7cw;;19005326;BLIND;5629626;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1280x720;1280x577;Reasoning Chunk;Demographics (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Nainen;;1;48;;31;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;44158
1;1643615266759;31/01/2022 07:47:46;1643615262996;2;31/01/2022 09:47:42;55551;25;questionnaire-c7cw;;19005201;BLIND;5629594;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x722;Openminded Chunk;Demographics (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;38;;21;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;35836
1;1643552531013;30/01/2022 14:22:11;1643552533831;2;30/01/2022 16:22:13;55551;25;questionnaire-c7cw;;18993961;BLIND;5626669;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x613;Reasoning Chunk;Demographics (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Nainen;;1;64;;47;Suomi;;209;Sujuva / äidinkieli;;3;Tohtorintutkinto / lisensiaattitutkinto;;1;37250
1;1643405943395;28/01/2022 21:39:03;1643405943772;2;28/01/2022 23:39:03;55551;25;questionnaire-c7cw;;18974404;BLIND;5621289;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1536x711;Openminded Chunk;Demographics (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;25;;8;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;14520
1;1643385399742;28/01/2022 15:56:39;1643385399613;2;28/01/2022 17:56:39;55551;25;questionnaire-c7cw;;18966223;BLIND;5618126;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1745x800;Openminded Chunk;Demographics (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;54;;37;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;27522
1;1643349464680;28/01/2022 05:57:44;1643349492745;2;28/01/2022 07:58:12;55551;25;questionnaire-c7cw;;18951207;BLIND;5614189;;complete;;;computer;Desktop or Laptop;Linux i686;Firefox 78.0;1680x1050;1680x898;Openminded Chunk;Demographics (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;68;;51;Suomi;;209;Sujuva / äidinkieli;;3;Tohtorintutkinto / lisensiaattitutkinto;;1;82588
1;1643297213936;27/01/2022 15:26:53;1643297213257;2;27/01/2022 17:26:53;55551;25;questionnaire-c7cw;;18931960;BLIND;5608075;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;2560x1440;2560x1340;Openminded Chunk;Demographics (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;30;;13;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;24844
1;1643112340430;25/01/2022 12:05:40;1643112339061;2;25/01/2022 14:05:39;55551;25;questionnaire-c7cw;;18844970;BLIND;5578226;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1680x1050;1680x899;Reasoning Chunk;Demographics (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Nainen;;1;53;;36;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;34514
1;1643055222649;24/01/2022 20:13:42;1643055222497;2;24/01/2022 22:13:42;55551;25;questionnaire-c7cw;;18827343;BLIND;5571263;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1280x800;1247x605;Decision Chunk;Demographics (Finnish);6;KLJMINHAGBFCED;Decision Chunk;;;;No;Nainen;;1;69;;52;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;33502
1;1643047930971;24/01/2022 18:12:10;1643047929915;2;24/01/2022 20:12:09;55551;25;questionnaire-c7cw;;18821603;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Demographics (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;71;;54;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;26013
1;1642968615210;23/01/2022 20:10:15;1642968614648;2;23/01/2022 22:10:14;55551;25;questionnaire-c7cw;;18787606;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1302x690;Openminded Chunk;Demographics (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;58;;41;Suomi;;209;Sujuva / äidinkieli;;3;Peruskoulu tai kansakoulu;;6;51858
1;1642950785940;23/01/2022 15:13:05;1642950791005;2;23/01/2022 17:13:11;55551;25;questionnaire-c7cw;;18779419;BLIND;5557743;;live;;;computer;Desktop or Laptop;Mac OS 10.11.6;Chrome 49.0.2623.112;1440x900;1440x805;Decision Chunk;Demographics (Finnish);6;FGEHDICJBKALNM;Decision Chunk;;;;No;Nainen;;1;68;;51;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;48615
1;1642927666201;23/01/2022 08:47:46;1642927665796;2;23/01/2022 10:47:45;55551;25;questionnaire-c7cw;;18771427;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;Demographics (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;29;;12;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;30878
1;1642889704690;22/01/2022 22:15:04;1642889704080;2;23/01/2022 00:15:04;55551;25;questionnaire-c7cw;;18767644;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;Demographics (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;24;;7;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;15710
1;1642789105126;21/01/2022 18:18:25;1642789104757;2;21/01/2022 20:18:24;55551;25;questionnaire-c7cw;;18738724;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;Demographics (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Mies;;2;59;;42;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;36230
1;1642769935312;21/01/2022 12:58:55;1642769935522;2;21/01/2022 14:58:55;55551;25;questionnaire-c7cw;;18723051;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Demographics (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;27;;10;Suomi;;209;Sujuva / äidinkieli;;3;Alempi korkeakoulututkinto (esim. Kandidaatti / alempi amk);;3;42960
1;1646047387365;28/02/2022 11:23:07;1646047387278;2;28/02/2022 13:23:07;55551;25;questionnaire-c7cw;;19890445;BLIND;5896498;;complete;;;computer;Desktop or Laptop;Mac OS 10.10.5;Chrome 87.0.4280.88;1440x900;1371x797;Openminded Chunk;Demographics (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;39;;22;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;41907
1;1645992882231;27/02/2022 20:14:42;1645992881492;2;27/02/2022 22:14:41;55551;25;questionnaire-c7cw;;19879854;BLIND;5893310;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.56;1536x864;1536x754;Openminded Chunk;Demographics (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Nainen;;1;49;;32;Suomi;;209;Sujuva / äidinkieli;;3;Ylempi korkeakoulututkinto (esim. Maisteri / diplomi-insinööri / ylempi amk / lääkärit);;2;26770
1;1645951771952;27/02/2022 08:49:31;1645951772078;2;27/02/2022 10:49:32;55551;25;questionnaire-c7cw;;19871530;BLIND;5890901;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1536x864;1536x722;Decision Chunk;Demographics (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;;;;No;Mies;;2;71;;54;Suomi;;209;Sujuva / äidinkieli;;3;Ammattikoulututkinto;;4;58800
END OF FILE
