Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;extroversionNormal;extroversionNormal-quantised;agreeablenessReverse;agreeablenessReverse-quantised;conscientiousnessNormal;conscientiousnessNormal-quantised;emotionalStabilityReverse;emotionalStabilityReverse-quantised;opennessNormal;opennessNormal-quantised;extroversionReverse;extroversionReverse-quantised;agreeablenessNormal;agreeablenessNormal-quantised;conscientiousnessReverse;conscientiousnessReverse-quantised;emotionalStabilityNormal;emotionalStabilityNormal-quantised;opennessReverse;opennessReverse-quantised;END QUESTIONNAIRE
1;1634727472210;20/10/2021 10:57:52;1634727473242;3;20/10/2021 13:57:53;55551;22;questionnaire-w8n1;;16532417;BLIND;4887607;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1280x720;1280x595;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;6;6;6;6;3;3;3;3;6;6;1;1;6;6;4;4;143732
1;1640612356293;27/12/2021 13:39:16;1640612352633;2;27/12/2021 15:39:12;55551;22;questionnaire-w8n1;;18217786;BLIND;5380940;;live;;;computer;Desktop or Laptop;Windows 10;Edge 96.0.1054.62;1536x864;1536x754;Decision Chunk;Big 5 Personality TIPI (Finnish);4;IJHKGLFMENDACB;Decision Chunk;;;;No;6;6;4;4;5;5;4;4;6;6;3;3;6;6;1;1;5;5;4;4;157859
1;1641894599892;11/01/2022 09:49:59;1641894599692;2;11/01/2022 11:49:59;55551;22;questionnaire-w8n1;;18420072;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;3;3;2;2;7;7;2;2;7;7;3;3;4;4;2;2;73301
1;1641841379000;10/01/2022 19:02:59;1641841378821;2;10/01/2022 21:02:58;55551;22;questionnaire-w8n1;;18412097;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;1;4;4;6;6;7;7;7;7;6;6;6;6;7;7;6;6;1;1;93017
1;1641827855727;10/01/2022 15:17:35;1641827855570;2;10/01/2022 17:17:35;55551;22;questionnaire-w8n1;;18404560;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;3;3;2;2;6;6;2;2;5;5;4;4;3;3;1;1;28832
1;1641822919774;10/01/2022 13:55:19;1641822919677;2;10/01/2022 15:55:19;55551;22;questionnaire-w8n1;;18401766;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;3;3;1;1;5;5;6;6;4;4;4;4;6;6;7;7;58219
1;1641765876651;09/01/2022 22:04:36;1641765876479;2;10/01/2022 00:04:36;55551;22;questionnaire-w8n1;;18391404;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;2;2;4;4;6;6;5;5;7;7;7;7;2;2;3;3;49017
1;1641764940172;09/01/2022 21:49:00;1641764940076;2;09/01/2022 23:49:00;55551;22;questionnaire-w8n1;;18391329;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1280x603;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;5;5;6;6;5;5;6;6;6;6;6;6;5;5;7;7;2;2;112534
1;1641667944585;08/01/2022 18:52:24;1641667944417;2;08/01/2022 20:52:24;55551;22;questionnaire-w8n1;;18376072;BLIND;5440344;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x821;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;5;5;6;6;3;3;5;5;2;2;4;4;4;4;6;6;4;4;48626
1;1641566933714;07/01/2022 14:48:53;1641566933588;2;07/01/2022 16:48:53;55551;22;questionnaire-w8n1;;18356506;BLIND;5435499;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1200;1504x952;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;3;3;2;2;6;6;5;5;4;4;5;5;5;5;5;5;52166
