Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;cognition1;cognition1-quantised;cognition2;cognition2-quantised;cognition3-rev;cognition3-rev-quantised;cognition4-rev;cognition4-rev-quantised;cognition5-rev;cognition5-rev-quantised;cognition6;cognition6-quantised;cognition7-rev;cognition7-rev-quantised;cognition8-rev;cognition8-rev-quantised;cognition9-rev;cognition9-rev-quantised;cognition10;cognition10-quantised;cognition11;cognition11-quantised;cognition12-rev;cognition12-rev-quantised;cognition13;cognition13-quantised;cognition14;cognition14-quantised;cognition15;cognition15-quantised;cognition16-rev;cognition16-rev-quantised;cognition17-rev;cognition17-rev-quantised;cognition18;cognition18-quantised;END QUESTIONNAIRE
1;1642777181702;21/01/2022 14:59:41;1642777181896;2;21/01/2022 16:59:41;55551;25;questionnaire-eygv;;18728140;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Need for Cognition Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;3;3;4;4;5;5;4;4;2;2;3;3;3;3;6;6;3;3;2;2;3;3;2;2;3;3;6;6;3;3;5;5;114708
1;1642796798635;21/01/2022 20:26:38;1642796798248;2;21/01/2022 22:26:38;55551;25;questionnaire-eygv;;18743414;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;Need for Cognition Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;1;1;2;2;1;1;5;5;3;3;3;3;4;4;4;4;4;4;3;3;3;3;5;5;4;4;3;3;2;2;5;5;196247
1;1642892574538;22/01/2022 23:02:54;1642892573949;2;23/01/2022 01:02:53;55551;25;questionnaire-eygv;;18768091;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;Need for Cognition Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;1;1;2;2;2;2;4;4;3;3;2;2;2;2;6;6;5;5;2;2;3;3;4;4;5;5;3;3;2;2;4;4;82540
1;1642932507587;23/01/2022 10:08:27;1642932506972;2;23/01/2022 12:08:26;55551;25;questionnaire-eygv;;18772577;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;Need for Cognition Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;2;2;2;2;3;3;5;5;3;3;4;4;4;4;6;6;5;5;3;3;3;3;5;5;5;5;2;2;3;3;4;4;134623
1;1642965962449;23/01/2022 19:26:02;1642965962327;2;23/01/2022 21:26:02;55551;25;questionnaire-eygv;;18786450;BLIND;5556093;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1366x768;1301x626;Openminded Chunk;Need for Cognition Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;4;4;3;3;3;3;4;4;3;3;4;4;3;3;5;5;5;5;3;3;3;3;3;3;4;4;4;4;3;3;3;3;2;2;182077
1;1642971477482;23/01/2022 20:57:57;1642971476962;2;23/01/2022 22:57:56;55551;25;questionnaire-eygv;;18788936;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1447x766;Openminded Chunk;Need for Cognition Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;1;1;1;1;1;1;6;6;1;1;3;3;4;4;3;3;5;5;2;2;5;5;6;6;5;5;2;2;2;2;6;6;119766
1;1643022851229;24/01/2022 11:14:11;1643022851118;2;24/01/2022 13:14:11;55551;25;questionnaire-eygv;;18798632;BLIND;5562166;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1462x762;Openminded Chunk;Need for Cognition Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;1;1;2;2;2;2;4;4;2;2;2;2;2;2;3;3;4;4;2;2;2;2;5;5;4;4;2;2;2;2;5;5;133472
1;1643049699083;24/01/2022 18:41:39;1643049698007;2;24/01/2022 20:41:38;55551;25;questionnaire-eygv;;18822939;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Need for Cognition Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;1;1;1;1;1;1;6;6;1;1;2;2;2;2;6;6;6;6;1;1;5;5;5;5;6;6;2;2;2;2;5;5;98065
1;1643114540616;25/01/2022 12:42:20;1643114539214;2;25/01/2022 14:42:19;55551;25;questionnaire-eygv;;18847504;BLIND;5578226;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1680x1050;1680x899;Reasoning Chunk;Need for Cognition Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;;No;5;5;5;5;1;1;3;3;1;1;5;5;2;2;2;2;2;2;5;5;5;5;2;2;5;5;3;3;3;3;1;1;1;1;6;6;93940
1;1643303725662;27/01/2022 17:15:25;1643303724997;2;27/01/2022 19:15:24;55551;25;questionnaire-eygv;;18936526;BLIND;5608075;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;2560x1440;2327x1218;Openminded Chunk;Need for Cognition Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;6;6;2;2;3;3;3;3;4;4;3;3;1;1;4;4;6;6;6;6;2;2;6;6;5;5;6;6;3;3;1;1;6;6;113309
1;1643354266798;28/01/2022 07:17:46;1643354294880;2;28/01/2022 09:18:14;55551;25;questionnaire-eygv;;18951663;BLIND;5614189;;complete;;;computer;Desktop or Laptop;Linux i686;Firefox 78.0;1680x1050;1680x898;Openminded Chunk;Need for Cognition Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;5;5;1;1;1;1;1;1;6;6;1;1;2;2;1;1;1;1;6;6;1;1;6;6;5;5;6;6;2;2;1;1;4;4;129923
1;1643382694735;28/01/2022 15:11:34;1643382694597;2;28/01/2022 17:11:34;55551;25;questionnaire-eygv;;18964911;BLIND;5616968;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1301x732;1302x659;Openminded Chunk;Need for Cognition Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;1;1;1;1;1;1;5;5;1;1;1;1;2;2;6;6;6;6;1;1;4;4;6;6;6;6;1;1;4;4;6;6;72955
1;1643390586129;28/01/2022 17:23:06;1643390585928;2;28/01/2022 19:23:05;55551;25;questionnaire-eygv;;18969490;BLIND;5618126;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1280x587;Openminded Chunk;Need for Cognition Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;3;3;3;3;3;3;4;4;3;3;4;4;3;3;5;5;6;6;3;3;3;3;5;5;3;3;3;3;3;3;5;5;117462
1;1643411105964;28/01/2022 23:05:05;1643411106360;2;29/01/2022 01:05:06;55551;25;questionnaire-eygv;;18975982;BLIND;5621289;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1536x711;Openminded Chunk;Need for Cognition Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;1;1;2;2;2;2;6;6;2;2;2;2;3;3;5;5;6;6;1;1;4;4;6;6;5;5;4;4;2;2;6;6;63002
1;1643556244344;30/01/2022 15:24:04;1643556247177;2;30/01/2022 17:24:07;55551;25;questionnaire-eygv;;18995260;BLIND;5626669;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x613;Reasoning Chunk;Need for Cognition Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3;3;3;3;1;1;4;4;2;2;5;5;2;2;3;3;4;4;3;3;4;4;2;2;2;2;2;2;2;2;6;6;5;5;6;6;181159
1;1643618696019;31/01/2022 08:44:56;1643618695894;2;31/01/2022 10:44:55;55551;25;questionnaire-eygv;;19005716;BLIND;5629594;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x722;Openminded Chunk;Need for Cognition Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;4;4;2;2;2;2;2;2;3;3;2;2;3;3;4;4;2;2;4;4;2;2;3;3;2;2;2;2;4;4;2;2;3;3;133971
1;1643618742854;31/01/2022 08:45:42;1643618742708;2;31/01/2022 10:45:42;55551;25;questionnaire-eygv;;19005720;BLIND;5629626;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1280x720;1024x462;Reasoning Chunk;Need for Cognition Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3;3;4;4;1;1;1;1;1;1;5;5;2;2;1;1;3;3;6;6;4;4;2;2;5;5;5;5;3;3;3;3;1;1;6;6;86023
