Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;extroversionNormal;extroversionNormal-quantised;agreeablenessReverse;agreeablenessReverse-quantised;conscientiousnessNormal;conscientiousnessNormal-quantised;emotionalStabilityReverse;emotionalStabilityReverse-quantised;opennessNormal;opennessNormal-quantised;extroversionReverse;extroversionReverse-quantised;agreeablenessNormal;agreeablenessNormal-quantised;conscientiousnessReverse;conscientiousnessReverse-quantised;emotionalStabilityNormal;emotionalStabilityNormal-quantised;opennessReverse;opennessReverse-quantised;END QUESTIONNAIRE
1;1642100044903;13/01/2022 18:54:04;1642100044606;2;13/01/2022 20:54:04;55551;24;questionnaire-w8n1;;18500143;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;3;3;4;4;3;3;6;6;7;7;5;5;6;6;6;6;5;5;68001
1;1642150707768;14/01/2022 08:58:27;1642150706933;2;14/01/2022 10:58:26;55551;24;questionnaire-w8n1;;18507176;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;6;6;3;3;5;5;6;6;5;5;4;4;6;6;3;3;124481
1;1642176934484;14/01/2022 16:15:34;1642176934397;2;14/01/2022 18:15:34;55551;24;questionnaire-w8n1;;18515944;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;5;5;6;6;6;6;5;5;4;4;3;3;3;3;2;2;3;3;35632
1;1642269890426;15/01/2022 18:04:50;1642269890333;2;15/01/2022 20:04:50;55551;24;questionnaire-w8n1;;18537609;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1190x664;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;3;3;6;6;2;2;6;6;2;2;4;4;2;2;5;5;3;3;43010
1;1642270786957;15/01/2022 18:19:46;1642270788776;2;15/01/2022 20:19:48;55551;24;questionnaire-w8n1;;18537732;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;7;7;5;5;6;6;5;5;7;7;2;2;6;6;4;4;58211
1;1642275719338;15/01/2022 19:41:59;1642275716490;2;15/01/2022 21:41:56;55551;24;questionnaire-w8n1;;18538694;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;6;6;3;3;6;6;5;5;6;6;5;5;7;7;2;2;94866
1;1642328139769;16/01/2022 10:15:39;1642328139593;2;16/01/2022 12:15:39;55551;24;questionnaire-w8n1;;18543152;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;4;4;7;7;6;6;5;5;6;6;6;6;2;2;3;3;24054
1;1642328153506;16/01/2022 10:15:53;1642328154709;2;16/01/2022 12:15:54;55551;24;questionnaire-w8n1;;18543156;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;5;5;5;5;5;5;6;6;3;3;6;6;3;3;5;5;3;3;26572
1;1642428754889;17/01/2022 14:12:34;1642428754054;2;17/01/2022 16:12:34;55551;24;questionnaire-w8n1;;18563076;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;5;5;6;6;3;3;2;2;6;6;5;5;2;2;4;4;125251
1;1642444638913;17/01/2022 18:37:18;1642444627744;2;17/01/2022 20:37:07;55551;24;questionnaire-w8n1;;18574910;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;3;3;5;5;2;2;5;5;2;2;6;6;7;7;3;3;2;2;45481
