Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;cognition1;cognition1-quantised;cognition2;cognition2-quantised;cognition3-rev;cognition3-rev-quantised;cognition4-rev;cognition4-rev-quantised;cognition5-rev;cognition5-rev-quantised;cognition6;cognition6-quantised;cognition7-rev;cognition7-rev-quantised;cognition8-rev;cognition8-rev-quantised;cognition9-rev;cognition9-rev-quantised;cognition10;cognition10-quantised;cognition11;cognition11-quantised;cognition12-rev;cognition12-rev-quantised;cognition13;cognition13-quantised;cognition14;cognition14-quantised;cognition15;cognition15-quantised;cognition16-rev;cognition16-rev-quantised;cognition17-rev;cognition17-rev-quantised;cognition18;cognition18-quantised;END QUESTIONNAIRE
1;1634715394034;20/10/2021 07:36:34;1634715393931;3;20/10/2021 10:36:33;55551;22;questionnaire-eygv;;16526271;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Need for Cognition Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;No;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;60950
1;1635008725094;23/10/2021 17:05:25;1635008734219;2;23/10/2021 19:05:34;55551;22;questionnaire-eygv;;16625040;BLIND;4914191;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1536x864;1536x722;Openminded Chunk;Need for Cognition Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;3;3;2;2;3;3;2;2;4;4;3;3;3;3;4;4;4;4;4;4;3;3;2;2;2;2;4;4;4;4;1;1;4;4;125426
1;1640804472412;29/12/2021 19:01:12;1640804472827;2;29/12/2021 21:01:12;55551;22;questionnaire-eygv;;18239983;BLIND;5388970;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1440x900;1152x631;Openminded Chunk;Need for Cognition Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;2;2;2;2;2;2;4;4;3;3;4;4;4;4;2;2;3;3;3;3;3;3;3;3;3;3;2;2;4;4;4;4;95545
1;1641027101446;01/01/2022 08:51:41;1641027102428;2;01/01/2022 10:51:42;55551;22;questionnaire-eygv;;18255219;BLIND;5399212;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x577;Openminded Chunk;Need for Cognition Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;6;6;1;1;1;1;1;1;6;6;1;1;3;3;1;1;3;3;6;6;2;2;4;4;4;4;6;6;2;2;2;2;6;6;29895
1;1641895338968;11/01/2022 10:02:18;1641895338751;2;11/01/2022 12:02:18;55551;22;questionnaire-eygv;;18420377;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Need for Cognition Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;1;1;2;2;1;1;5;5;4;4;3;3;4;4;5;5;6;6;2;2;5;5;5;5;4;4;5;5;1;1;6;6;114338
1;1641842354900;10/01/2022 19:19:14;1641842354669;2;10/01/2022 21:19:14;55551;22;questionnaire-eygv;;18412512;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Need for Cognition Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;1;1;2;2;2;2;4;4;3;3;2;2;1;1;4;4;6;6;1;1;6;6;5;5;6;6;4;4;3;3;5;5;133647
1;1641827887175;10/01/2022 15:18:07;1641827886995;2;10/01/2022 17:18:06;55551;22;questionnaire-eygv;;18404586;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Need for Cognition Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;1;1;3;3;2;2;4;4;3;3;4;4;3;3;5;5;4;4;1;1;4;4;5;5;4;4;4;4;1;1;5;5;74538
1;1641822536120;10/01/2022 13:48:56;1641822536024;2;10/01/2022 15:48:56;55551;22;questionnaire-eygv;;18401623;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Need for Cognition Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;2;2;3;3;1;1;5;5;2;2;4;4;4;4;5;5;5;5;2;2;3;3;4;4;5;5;2;2;1;1;3;3;104064
1;1641765187961;09/01/2022 21:53:07;1641765187818;2;09/01/2022 23:53:07;55551;22;questionnaire-eygv;;18391339;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Need for Cognition Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;1;1;4;4;2;2;4;4;3;3;6;6;3;3;2;2;6;6;1;1;3;3;6;6;1;1;3;3;2;2;6;6;104717
1;1641764227927;09/01/2022 21:37:07;1641764227832;2;09/01/2022 23:37:07;55551;22;questionnaire-eygv;;18391169;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1280x603;Openminded Chunk;Need for Cognition Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;5;5;1;1;1;1;1;1;6;6;1;1;1;1;4;4;2;2;5;5;1;1;3;3;5;5;4;4;3;3;2;2;5;5;242246
