Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;Array;Answer;Practice_Array
367;1641970135996;12/01/2022 06:48:55;1641970135961;2;12/01/2022 08:48:55;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;440;321;1;Screen 1;content;gonogo;1000.8439999999246;;;No Go;;1;0;0;;;;;2;Trials;N.png;No Go;
368;1641970136604;12/01/2022 06:48:56;1641970136573;2;12/01/2022 08:48:56;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;82;322;1;Screen 1;advancementZone;response_keyboard_single;606.5999999996275;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
369;1641970137686;12/01/2022 06:48:57;1641970137653;2;12/01/2022 08:48:57;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;259;323;1;Screen 1;advancementZone;response_keyboard_single;687.5;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
370;1641970138528;12/01/2022 06:48:58;1641970138493;2;12/01/2022 08:48:58;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;104;324;1;Screen 1;advancementZone;response_keyboard_single;525.8999999994412;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
371;1641970139452;12/01/2022 06:48:59;1641970139413;2;12/01/2022 08:48:59;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;177;325;1;Screen 1;advancementZone;response_keyboard_single;445.59999999962747;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
372;1641970140572;12/01/2022 06:49:00;1641970140533;2;12/01/2022 08:49:00;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;326;326;1;Screen 1;advancementZone;response_keyboard_single;564.6999999992549;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
373;1641970141434;12/01/2022 06:49:01;1641970141405;2;12/01/2022 08:49:01;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;303;327;1;Screen 1;advancementZone;response_keyboard_single;436;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
374;1641970142415;12/01/2022 06:49:02;1641970142389;2;12/01/2022 08:49:02;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;69;328;1;Screen 1;advancementZone;response_keyboard_single;418.59999999962747;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
375;1641970143415;12/01/2022 06:49:03;1641970143381;2;12/01/2022 08:49:03;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;131;329;1;Screen 1;advancementZone;response_keyboard_single;410.29999999981374;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
376;1641970144379;12/01/2022 06:49:04;1641970144341;2;12/01/2022 08:49:04;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;142;330;1;Screen 1;advancementZone;response_keyboard_single;369.5;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
