Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;Array;Answer;Practice_Array
1;1641969603391;12/01/2022 06:40:03;1641969603266;2;12/01/2022 08:40:03;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;
2;1641969616533;12/01/2022 06:40:16;1641969616498;2;12/01/2022 08:40:16;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;button;continue_keyboard;12923.899999999907;;;;;0;1;0;;;;;;Get ready;;;
3;1641969618286;12/01/2022 06:40:18;1641969618246;2;12/01/2022 08:40:18;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;2;Screen 2;button;continue_keyboard;1735.6000000000931;;;;;0;1;0;;;;;;Get ready;;;
4;1641969619273;12/01/2022 06:40:19;1641969619238;2;12/01/2022 08:40:19;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;25;1;1;Screen 1;content;gonogo;1001.2090000000007;;;trialNG;;0;1;0;;;;;1;Practice;;;H.png
5;1641969620258;12/01/2022 06:40:20;1641969620237;2;12/01/2022 08:40:20;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;5;2;1;Screen 1;content;gonogo;1000.7009999999973;;;trialNG;;0;1;0;;;;;1;Practice;;;T.png
6;1641969621278;12/01/2022 06:40:21;1641969621238;2;12/01/2022 08:40:21;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;21;3;1;Screen 1;content;gonogo;1001.331000000002;;;trialNG;;0;1;0;;;;;1;Practice;;;H.png
7;1641969622282;12/01/2022 06:40:22;1641969622238;2;12/01/2022 08:40:22;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;32;4;1;Screen 1;content;gonogo;1000.4799999999996;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
8;1641969622688;12/01/2022 06:40:22;1641969622655;2;12/01/2022 08:40:22;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;29;5;1;Screen 1;advancementZone;response_keyboard_single;410.70000000018626;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
9;1641969623722;12/01/2022 06:40:23;1641969623678;2;12/01/2022 08:40:23;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;24;6;1;Screen 1;advancementZone;response_keyboard_single;433.20000000018626;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
10;1641969624651;12/01/2022 06:40:24;1641969624622;2;12/01/2022 08:40:24;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;10;7;1;Screen 1;advancementZone;response_keyboard_single;376.79999999981374;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
11;1641969625669;12/01/2022 06:40:25;1641969625638;2;12/01/2022 08:40:25;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;13;8;1;Screen 1;advancementZone;response_keyboard_single;390.89999999990687;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
12;1641969626683;12/01/2022 06:40:26;1641969626662;2;12/01/2022 08:40:26;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;36;9;1;Screen 1;advancementZone;response_keyboard_single;416.29999999981374;;;trialGO;1;0;1;0;;;;;1;Practice;;;N.png
13;1641969627683;12/01/2022 06:40:27;1641969627655;2;12/01/2022 08:40:27;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;7;10;1;Screen 1;advancementZone;response_keyboard_single;407;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
14;1641969629270;12/01/2022 06:40:29;1641969629244;2;12/01/2022 08:40:29;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;22;11;1;Screen 1;content;gonogo;1000.8410000000003;;;trialNG;;0;1;0;;;;;1;Practice;;;H.png
15;1641969629846;12/01/2022 06:40:29;1641969629806;2;12/01/2022 08:40:29;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;8;12;1;Screen 1;advancementZone;response_keyboard_single;556.6000000000931;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
16;1641969630799;12/01/2022 06:40:30;1641969630774;2;12/01/2022 08:40:30;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;27;13;1;Screen 1;advancementZone;response_keyboard_single;524.6000000000931;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
17;1641969631726;12/01/2022 06:40:31;1641969631702;2;12/01/2022 08:40:31;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;6;14;1;Screen 1;advancementZone;response_keyboard_single;451.79999999981374;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
18;1641969632665;12/01/2022 06:40:32;1641969632638;2;12/01/2022 08:40:32;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;26;15;1;Screen 1;advancementZone;response_keyboard_single;386.90000000037253;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
19;1641969633787;12/01/2022 06:40:33;1641969633758;2;12/01/2022 08:40:33;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;30;16;1;Screen 1;advancementZone;response_keyboard_single;504.8000000002794;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
20;1641969634732;12/01/2022 06:40:34;1641969634702;2;12/01/2022 08:40:34;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;12;17;1;Screen 1;advancementZone;response_keyboard_single;449.5;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
21;1641969635718;12/01/2022 06:40:35;1641969635694;2;12/01/2022 08:40:35;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;15;18;1;Screen 1;advancementZone;response_keyboard_single;440;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
22;1641969637284;12/01/2022 06:40:37;1641969637252;2;12/01/2022 08:40:37;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;38;19;1;Screen 1;content;gonogo;1000.8119999999981;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
23;1641969638281;12/01/2022 06:40:38;1641969638252;2;12/01/2022 08:40:38;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;34;20;1;Screen 1;content;gonogo;1001.3170000000027;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
24;1641969638769;12/01/2022 06:40:38;1641969638727;2;12/01/2022 08:40:38;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;17;21;1;Screen 1;advancementZone;response_keyboard_single;469.3000000002794;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
25;1641969639724;12/01/2022 06:40:39;1641969639686;2;12/01/2022 08:40:39;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;22;1;Screen 1;advancementZone;response_keyboard_single;429.39999999990687;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
26;1641969640698;12/01/2022 06:40:40;1641969640670;2;12/01/2022 08:40:40;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;14;23;1;Screen 1;advancementZone;response_keyboard_single;412.8000000002794;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
27;1641969642300;12/01/2022 06:40:42;1641969642255;2;12/01/2022 08:40:42;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;37;24;1;Screen 1;content;gonogo;1000.9159999999974;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
28;1641969642751;12/01/2022 06:40:42;1641969642726;2;12/01/2022 08:40:42;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;18;25;1;Screen 1;advancementZone;response_keyboard_single;466;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
29;1641969643844;12/01/2022 06:40:43;1641969643806;2;12/01/2022 08:40:43;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;23;26;1;Screen 1;advancementZone;response_keyboard_single;545.7999999998137;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
30;1641969644743;12/01/2022 06:40:44;1641969644718;2;12/01/2022 08:40:44;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;28;27;1;Screen 1;advancementZone;response_keyboard_single;457;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
31;1641969645722;12/01/2022 06:40:45;1641969645686;2;12/01/2022 08:40:45;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;11;28;1;Screen 1;advancementZone;response_keyboard_single;424.70000000018626;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
32;1641969646703;12/01/2022 06:40:46;1641969646678;2;12/01/2022 08:40:46;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;20;29;1;Screen 1;advancementZone;response_keyboard_single;415.79999999981374;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
33;1641969647673;12/01/2022 06:40:47;1641969647638;2;12/01/2022 08:40:47;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;30;1;Screen 1;advancementZone;response_keyboard_single;374.39999999990687;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
34;1641969649292;12/01/2022 06:40:49;1641969649261;2;12/01/2022 08:40:49;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;35;31;1;Screen 1;content;gonogo;1000.9439999999959;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
35;1641969649673;12/01/2022 06:40:49;1641969649639;2;12/01/2022 08:40:49;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;40;32;1;Screen 1;advancementZone;response_keyboard_single;372.6999999997206;;;trialGO;1;0;1;0;;;;;1;Practice;;;N.png
36;1641969651284;12/01/2022 06:40:51;1641969651262;2;12/01/2022 08:40:51;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;31;33;1;Screen 1;content;gonogo;1000.5639999999985;;;trialNG;;0;1;0;;;;;1;Practice;;;H.png
37;1641969651676;12/01/2022 06:40:51;1641969651638;2;12/01/2022 08:40:51;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;9;34;1;Screen 1;advancementZone;response_keyboard_single;371;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
38;1641969652689;12/01/2022 06:40:52;1641969652662;2;12/01/2022 08:40:52;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;16;35;1;Screen 1;advancementZone;response_keyboard_single;394.3000000002794;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
39;1641969653769;12/01/2022 06:40:53;1641969653742;2;12/01/2022 08:40:53;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;19;36;1;Screen 1;advancementZone;response_keyboard_single;473.89999999990687;;;trialGO;1;0;1;0;;;;;1;Practice;;;H.png
40;1641969655298;12/01/2022 06:40:55;1641969655266;2;12/01/2022 08:40:55;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;39;37;1;Screen 1;content;gonogo;1001.1059999999998;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
41;1641969656290;12/01/2022 06:40:56;1641969656266;2;12/01/2022 08:40:56;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;33;38;1;Screen 1;content;gonogo;1000.6659999999974;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
42;1641969657307;12/01/2022 06:40:57;1641969657267;2;12/01/2022 08:40:57;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;41;39;1;Screen 1;content;gonogo;1001.0360000000001;;;trialNG;;0;1;0;;;;;1;Practice;;;N.png
43;1641969657711;12/01/2022 06:40:57;1641969657678;2;12/01/2022 08:40:57;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;40;1;Screen 1;advancementZone;response_keyboard_single;405;;;trialGO;1;0;1;0;;;;;1;Practice;;;T.png
44;1641969669435;12/01/2022 06:41:09;1641969669408;2;12/01/2022 08:41:09;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;42;1;1;Screen 1;button;continue_button;11134.200000000186;;;;;0;1;0;;;;;;Instructions;;;
45;1641969808071;12/01/2022 06:43:28;1641969808039;2;12/01/2022 08:43:28;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;42;1;2;Screen 2;button;continue_keyboard;138628.3999999999;;;;;0;1;0;;;;;;Instructions;;;
46;1641969814740;12/01/2022 06:43:34;1641969814703;2;12/01/2022 08:43:34;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;42;1;3;Screen 3;button;continue_keyboard;6656.5999999996275;;;;;0;1;0;;;;;;Instructions;;;
47;1641969815426;12/01/2022 06:43:35;1641969815398;2;12/01/2022 08:43:35;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;281;1;1;Screen 1;advancementZone;response_keyboard_single;680.2999999998137;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
48;1641969816251;12/01/2022 06:43:36;1641969816222;2;12/01/2022 08:43:36;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;133;2;1;Screen 1;advancementZone;response_keyboard_single;519.2999999998137;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
49;1641969817126;12/01/2022 06:43:37;1641969817086;2;12/01/2022 08:43:37;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;75;3;1;Screen 1;advancementZone;response_keyboard_single;383.5;;;Go;1;1;0;0;;;;;2;Trials;T.png;Go;
50;1641969818079;12/01/2022 06:43:38;1641969818046;2;12/01/2022 08:43:38;55551;23;task-n8ns;;18449288;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Go/No-Go (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;243;4;1;Screen 1;advancementZone;response_keyboard_single;342.5;;;Go;1;1;0;0;;;;;2;Trials;H.png;Go;
