Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;openNormal1;openNormal1-quantised;openNormal2;openNormal2-quantised;openNormal3;openNormal3-quantised;openReverse1;openReverse1-quantised;openReverse2;openReverse2-quantised;openReverse3;openReverse3-quantised;openReverse4;openReverse4-quantised;END QUESTIONNAIRE
1;1635177413616;25/10/2021 15:56:53;1635177413487;3;25/10/2021 18:56:53;55551;22;questionnaire-7qsg;;16663052;BLIND;4922817;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 94.0.4606.54;1280x800;1167x641;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;7;7;6;6;2;2;6;6;3;3;2;2;51501
1;1641894675009;11/01/2022 09:51:15;1641894674794;2;11/01/2022 11:51:14;55551;22;questionnaire-7qsg;;18420107;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;6;6;2;2;1;1;4;4;4;4;4;4;61577
1;1641842489771;10/01/2022 19:21:29;1641842489587;2;10/01/2022 21:21:29;55551;22;questionnaire-7qsg;;18412604;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;6;6;1;1;2;2;1;1;1;1;56961
1;1641824229527;10/01/2022 14:17:09;1641824229451;2;10/01/2022 16:17:09;55551;22;questionnaire-7qsg;;18402220;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;6;6;6;6;2;2;5;5;3;3;1;1;43160
1;1641767104338;09/01/2022 22:25:04;1641767104235;2;10/01/2022 00:25:04;55551;22;questionnaire-7qsg;;18391611;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1024x482;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;7;7;4;4;2;2;3;3;2;2;2;2;95006
1;1641766734809;09/01/2022 22:18:54;1641766734648;2;10/01/2022 00:18:54;55551;22;questionnaire-7qsg;;18391564;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;7;7;7;7;1;1;3;3;1;1;1;1;30080
1;1641670458393;08/01/2022 19:34:18;1641670458268;2;08/01/2022 21:34:18;55551;22;questionnaire-7qsg;;18376438;BLIND;5440344;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x821;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;7;7;6;6;1;1;4;4;4;4;2;2;56516
1;1641167831899;02/01/2022 23:57:11;1641167831436;2;03/01/2022 01:57:11;55551;22;questionnaire-7qsg;;18264933;BLIND;5411218;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;5760x1080;4147x638;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;7;7;7;7;1;1;1;1;1;1;1;1;51048
1;1641025765000;01/01/2022 08:29:25;1641025765995;2;01/01/2022 10:29:25;55551;22;questionnaire-7qsg;;18255202;BLIND;5399212;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x577;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;7;7;7;7;1;1;3;3;2;2;1;1;10522
1;1640787074828;29/12/2021 14:11:14;1640787074011;2;29/12/2021 16:11:14;55551;22;questionnaire-7qsg;;18236468;BLIND;5387595;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 96.0.1054.62;1536x864;1396x685;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;7;7;6;6;1;1;2;2;2;2;2;2;294480
1;1640610497807;27/12/2021 13:08:17;1640610497858;2;27/12/2021 15:08:17;55551;22;questionnaire-7qsg;;18217394;BLIND;5380955;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1366x768;1366x625;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;6;6;1;1;1;1;2;2;1;1;37708
1;1640300017773;23/12/2021 22:53:37;1640300017629;2;24/12/2021 00:53:37;55551;22;questionnaire-7qsg;;18199950;BLIND;5375463;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1920x1080;1920x1000;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;7;7;7;7;1;1;4;4;2;2;1;1;38449
1;1640099903271;21/12/2021 15:18:23;1640099903154;2;21/12/2021 17:18:23;55551;22;questionnaire-7qsg;;18169009;BLIND;5355205;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1280x800;1280x697;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;7;7;7;7;1;1;3;3;1;1;1;1;30410
1;1640071682388;21/12/2021 07:28:02;1640071683046;2;21/12/2021 09:28:03;55551;22;questionnaire-7qsg;;18160514;BLIND;5358132;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1600x900;1600x757;Reasoning Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;;No;4;4;5;5;5;5;1;1;1;1;1;1;1;1;21035
1;1640021130939;20/12/2021 17:25:30;1640021131963;2;20/12/2021 19:25:31;55551;22;questionnaire-7qsg;;18151838;BLIND;5354577;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1536x722;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;5;5;3;3;1;1;2;2;2;2;268445
1;1639468825011;14/12/2021 08:00:25;1639468824226;2;14/12/2021 10:00:24;55551;22;questionnaire-7qsg;;17983905;BLIND;5305503;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1024x576;1024x474;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;7;7;4;4;1;1;1;1;2;2;1;1;87274
1;1639340834195;12/12/2021 20:27:14;1639340834007;2;12/12/2021 22:27:14;55551;22;questionnaire-7qsg;;17956639;BLIND;5294346;;live;;;computer;Desktop or Laptop;Linux x86_64;Firefox 94.0;1920x1080;1920x966;Science Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;;;No;7;7;7;7;7;7;1;1;4;4;1;1;1;1;114452
1;1639210732929;11/12/2021 08:18:52;1639210729519;2;11/12/2021 10:18:49;55551;22;questionnaire-7qsg;;17936793;BLIND;5290491;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1536x864;1536x714;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;7;7;4;4;1;1;2;2;1;1;1;1;37701
1;1638350863842;01/12/2021 09:27:43;1638350863704;2;01/12/2021 11:27:43;55551;22;questionnaire-7qsg;;17612096;BLIND;5201242;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x909;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;6;6;1;1;3;3;2;2;1;1;38633
1;1638268138382;30/11/2021 10:28:58;1638268228610;2;30/11/2021 12:30:28;55551;22;questionnaire-7qsg;;17581290;BLIND;5191578;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;1920x937;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;6;6;6;6;2;2;3;3;2;2;2;2;76148
1;1638044763969;27/11/2021 20:26:03;1638044764746;2;27/11/2021 22:26:04;55551;22;questionnaire-7qsg;;17526331;BLIND;5175309;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1280x720;1280x577;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;3;3;1;1;5;5;3;3;2;2;312697
