Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;ConsentFlag;END QUESTIONNAIRE
1;1642095722331;13/01/2022 17:42:02;1642095722208;2;13/01/2022 19:42:02;55551;24;questionnaire-o43u;;18498689;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Study Information and Consent (Finnish);15;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;55538
1;1642145425319;14/01/2022 07:30:25;1642145424431;2;14/01/2022 09:30:24;55551;24;questionnaire-o43u;;18506537;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1920x941;Openminded Chunk;Study Information and Consent (Finnish);15;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;70739
1;1642170513191;14/01/2022 14:28:33;1642170513103;2;14/01/2022 16:28:33;55551;24;questionnaire-o43u;;18513456;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x1007;Openminded Chunk;Study Information and Consent (Finnish);15;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;11199
1;1642264428185;15/01/2022 16:33:48;1642264430058;2;15/01/2022 18:33:50;55551;24;questionnaire-o43u;;18536596;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1876x899;Openminded Chunk;Study Information and Consent (Finnish);15;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;213946
1;1642264449035;15/01/2022 16:34:09;1642264448952;2;15/01/2022 18:34:08;55551;24;questionnaire-o43u;;18536603;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1199x595;Openminded Chunk;Study Information and Consent (Finnish);15;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;126997
1;1642271425752;15/01/2022 18:30:25;1642271422905;2;15/01/2022 20:30:22;55551;24;questionnaire-o43u;;18537822;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1280x720;1280x595;Openminded Chunk;Study Information and Consent (Finnish);15;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;85228
1;1642279621999;15/01/2022 20:47:01;1642279620751;2;15/01/2022 22:47:00;55551;24;questionnaire-o43u;;18539339;BLIND;5487301;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x657;Decision Chunk;Study Information and Consent (Finnish);15;GHFIEJDKCLBMAN;Decision Chunk;;;;No;1;53831
1;1642325288680;16/01/2022 09:28:08;1642325289840;2;16/01/2022 11:28:09;55551;24;questionnaire-o43u;;18542426;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Study Information and Consent (Finnish);15;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;59629
1;1642326467420;16/01/2022 09:47:47;1642326467285;2;16/01/2022 11:47:47;55551;24;questionnaire-o43u;;18542718;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Study Information and Consent (Finnish);15;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;17419
1;1642420845010;17/01/2022 12:00:45;1642420844251;2;17/01/2022 14:00:44;55551;24;questionnaire-o43u;;18558027;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Study Information and Consent (Finnish);15;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;206360
1;1642442239470;17/01/2022 17:57:19;1642442228281;2;17/01/2022 19:57:08;55551;24;questionnaire-o43u;;18573876;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Study Information and Consent (Finnish);15;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;185096
1;1642472211878;18/01/2022 02:16:51;1642472211623;2;18/01/2022 04:16:51;55551;24;questionnaire-o43u;;18581730;BLIND;5500754;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.71;2048x1152;1988x959;Science Chunk;Study Information and Consent (Finnish);15;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;;;No;1;141044
1;1642488550211;18/01/2022 06:49:10;1642488550990;2;18/01/2022 08:49:10;55551;24;questionnaire-o43u;;18582828;BLIND;5501079;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Decision Chunk;Study Information and Consent (Finnish);15;MNLAKBJCIDHEGF;Decision Chunk;;;;No;1;59389
1;1642512191845;18/01/2022 13:23:11;1642512191759;2;18/01/2022 15:23:11;55551;24;questionnaire-o43u;;18593479;BLIND;5504593;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1440x900;1440x693;Openminded Chunk;Study Information and Consent (Finnish);15;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;41693
1;1642515257110;18/01/2022 14:14:17;1642515256991;2;18/01/2022 16:14:16;55551;24;questionnaire-o43u;;18596287;BLIND;5505611;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 96.0.4664.110;1366x768;1356x589;Openminded Chunk;Study Information and Consent (Finnish);15;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;152805
1;1642517356427;18/01/2022 14:49:16;1642517356205;2;18/01/2022 16:49:16;55551;24;questionnaire-o43u;;18598453;BLIND;5506382;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1280x800;1279x639;Openminded Chunk;Study Information and Consent (Finnish);15;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;4495560
1;1642520271011;18/01/2022 15:37:51;1642520270859;2;18/01/2022 17:37:50;55551;24;questionnaire-o43u;;18601290;BLIND;5507405;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1352x811;Openminded Chunk;Study Information and Consent (Finnish);15;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;292873
1;1642599701753;19/01/2022 13:41:41;1642599702635;2;19/01/2022 15:41:42;55551;24;questionnaire-o43u;;18640180;BLIND;5517409;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1600x789;Openminded Chunk;Study Information and Consent (Finnish);15;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;431587
1;1642610875040;19/01/2022 16:47:55;1642610874949;2;19/01/2022 18:47:54;55551;24;questionnaire-o43u;;18649184;BLIND;5520492;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1920x1080;1145x942;Openminded Chunk;Study Information and Consent (Finnish);15;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;116775
1;1642620700654;19/01/2022 19:31:40;1642620700453;2;19/01/2022 21:31:40;55551;24;questionnaire-o43u;;18655497;BLIND;5522622;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 91.0;1280x720;1280x539;Decision Chunk;Study Information and Consent (Finnish);15;FGEHDICJBKALNM;Decision Chunk;;;;No;1;36750
1;1642665376157;20/01/2022 07:56:16;1642665376021;2;20/01/2022 09:56:16;55551;24;questionnaire-o43u;;18664170;BLIND;5526450;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 91.0;1920x1080;1079x904;Reasoning Chunk;Study Information and Consent (Finnish);15;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;;No;1;9908
END OF FILE
