Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;sc-1;sc-1-text;sc-1-quantised;sc-2;sc-2-text;sc-2-quantised;sc-3;sc-3-text;sc-3-quantised;sc-4;sc-4-text;sc-4-quantised;END QUESTIONNAIRE
1;1640802564500;29/12/2021 18:29:24;1640802564889;2;29/12/2021 20:29:24;55551;22;questionnaire-go4a;;18239739;BLIND;5388970;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1440x900;1152x631;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;En yhtään;;1;Samaa mieltä;;4;Ei eri eikä samaa mieltä;;3;52060
1;1640789969771;29/12/2021 14:59:29;1640789968914;2;29/12/2021 16:59:28;55551;22;questionnaire-go4a;;18237028;BLIND;5387595;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 96.0.1054.62;1536x864;1396x685;Openminded Chunk;Science Curiosity Scale (Finnish);7;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;En yhtään;;1;Samaa mieltä;;4;Ei eri eikä samaa mieltä;;3;236566
1;1640708494189;28/12/2021 16:21:34;1640708494007;2;28/12/2021 18:21:34;55551;22;questionnaire-go4a;;18228839;BLIND;5384429;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x764;Openminded Chunk;Science Curiosity Scale (Finnish);7;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Yhtä;;2;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;44623
1;1640610451260;27/12/2021 13:07:31;1640610451296;2;27/12/2021 15:07:31;55551;22;questionnaire-go4a;;18217386;BLIND;5380955;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1366x768;1366x625;Openminded Chunk;Science Curiosity Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;45298
1;1640298288571;23/12/2021 22:24:48;1640298288385;2;24/12/2021 00:24:48;55551;22;questionnaire-go4a;;18199853;BLIND;5375463;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1920x1080;1920x1000;Openminded Chunk;Science Curiosity Scale (Finnish);7;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;22404
1;1640196410486;22/12/2021 18:06:50;1640196410675;2;22/12/2021 20:06:50;55551;22;questionnaire-go4a;;18187335;BLIND;5372338;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;640x360;640x295;Reasoning Chunk;Science Curiosity Scale (Finnish);7;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3-4 kertaa vuodessa;;4;Kahta;;3;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;55779
1;1640070480777;21/12/2021 07:08:00;1640070481478;2;21/12/2021 09:08:01;55551;22;questionnaire-go4a;;18160386;BLIND;5358132;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1600x900;1600x757;Reasoning Chunk;Science Curiosity Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;;No;En kertaakaan;;1;En yhtään;;1;Ei eri eikä samaa mieltä;;3;Eri mieltä;;2;25082
1;1640035654054;20/12/2021 21:27:34;1640035653948;2;20/12/2021 23:27:33;55551;22;questionnaire-go4a;;18155970;BLIND;5355205;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1280x800;1280x697;Openminded Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Yhtä;;2;Samaa mieltä;;4;Samaa mieltä;;4;32043
1;1640018737771;20/12/2021 16:45:37;1640018738777;2;20/12/2021 18:45:38;55551;22;questionnaire-go4a;;18151084;BLIND;5354577;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1536x722;Openminded Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;152199
1;1639742647942;17/12/2021 12:04:07;1639742647497;2;17/12/2021 14:04:07;55551;22;questionnaire-go4a;;18090368;BLIND;5336084;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1440x900;1140x731;Openminded Chunk;Science Curiosity Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;48245
