Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;closure1;closure1-quantised;closure2;closure2-quantised;closure3;closure3-quantised;closure4;closure4-quantised;closure5;closure5-quantised;closure6;closure6-quantised;closure7;closure7-quantised;closure8;closure8-quantised;closure9;closure9-quantised;closure10;closure10-quantised;closure11;closure11-quantised;closure12;closure12-quantised;closure13;closure13-quantised;closure14;closure14-quantised;closure15;closure15-quantised;END QUESTIONNAIRE
1;1642100421947;13/01/2022 19:00:21;1642100421646;2;13/01/2022 21:00:21;55551;24;questionnaire-mz16;;18500241;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Need for Closure Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;6;6;2;2;3;3;4;4;6;6;2;2;5;5;6;6;3;3;4;4;5;5;2;2;2;2;96605
1;1642151724363;14/01/2022 09:15:24;1642151723545;2;14/01/2022 11:15:23;55551;24;questionnaire-mz16;;18507354;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Need for Closure Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;3;3;5;5;3;3;5;5;4;4;3;3;1;1;5;5;3;3;4;4;5;5;1;1;4;4;167857
1;1642176971275;14/01/2022 16:16:11;1642176971213;2;14/01/2022 18:16:11;55551;24;questionnaire-mz16;;18515963;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Need for Closure Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;6;6;6;6;3;3;6;6;6;6;6;6;3;3;5;5;6;6;5;5;5;5;3;3;6;6;63681
1;1642269614808;15/01/2022 18:00:14;1642269616626;2;15/01/2022 20:00:16;55551;24;questionnaire-mz16;;18537575;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Need for Closure Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;3;3;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;121801
1;1642269774286;15/01/2022 18:02:54;1642269774194;2;15/01/2022 20:02:54;55551;24;questionnaire-mz16;;18537592;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1190x664;Openminded Chunk;Need for Closure Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;4;4;3;3;3;3;3;3;4;4;4;4;3;3;4;4;3;3;4;4;5;5;2;2;4;4;74568
1;1642275312042;15/01/2022 19:35:12;1642275309203;2;15/01/2022 21:35:09;55551;24;questionnaire-mz16;;18538611;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Need for Closure Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;3;3;4;4;3;3;4;4;4;4;5;5;5;5;5;5;4;4;4;4;2;2;4;4;2;2;3;3;123262
1;1642327848192;16/01/2022 10:10:48;1642327849389;2;16/01/2022 12:10:49;55551;24;questionnaire-mz16;;18543095;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Need for Closure Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;5;5;4;4;3;3;3;3;4;4;4;4;4;4;5;5;4;4;4;4;5;5;2;2;4;4;79315
1;1642327852278;16/01/2022 10:10:52;1642327852113;2;16/01/2022 12:10:52;55551;24;questionnaire-mz16;;18543096;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Need for Closure Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;4;4;6;6;5;5;6;6;4;4;4;4;6;6;6;6;3;3;4;4;4;4;2;2;6;6;62681
1;1642428564260;17/01/2022 14:09:24;1642428563442;2;17/01/2022 16:09:23;55551;24;questionnaire-mz16;;18562967;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Need for Closure Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;4;4;3;3;3;3;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;188141
1;1642445273367;17/01/2022 18:47:53;1642445262234;2;17/01/2022 20:47:42;55551;24;questionnaire-mz16;;18575208;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Need for Closure Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;2;2;2;2;2;2;2;2;5;5;4;4;4;4;2;2;2;2;3;3;2;2;1;1;2;2;76147
