Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;response;response_count;Image
1;1634724258307;20/10/2021 10:04:18;1634724258228;3;20/10/2021 13:04:18;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;
2;1634724277783;20/10/2021 10:04:37;1634724277622;3;20/10/2021 13:04:37;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;19364.89999999851;;;;;0;1;0;;;;;;Instructions;;;
3;1634724292207;20/10/2021 10:04:52;1634724292169;3;20/10/2021 13:04:52;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone1;continue_keyboard;14525.199999999255;;;;;0;1;0;;;;;;Trial 1;space;;cube.PNG
4;1634724307843;20/10/2021 10:05:07;1634724307791;3;20/10/2021 13:05:07;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;15613.699999999255;;;space;1;1;0;0;;;;;;Trial 1;space;;cube.PNG
5;1634724322201;20/10/2021 10:05:22;1634724322148;3;20/10/2021 13:05:22;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;content;timelimit_screen;29996.227;;;;;0;1;0;;;1;;;Trial 1;space;;cube.PNG
6;1634724330355;20/10/2021 10:05:30;1634724330323;3;20/10/2021 13:05:30;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;1;Screen 1;advancementZone;continue_keyboard;8169.5;;;;;0;1;0;;;;;;Trial 2;space;;cube.PNG
7;1634724347517;20/10/2021 10:05:47;1634724347467;3;20/10/2021 13:05:47;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;advancementZone;response_keyboard_single;17136.300000000745;;;space;1;1;0;0;;;;;;Trial 2;space;;cube.PNG
8;1634724360371;20/10/2021 10:06:00;1634724360314;3;20/10/2021 13:06:00;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;content;timelimit_screen;29996.564000000013;;;;;0;1;0;;;1;;;Trial 2;space;;cube.PNG
9;1634724364258;20/10/2021 10:06:04;1634724364201;3;20/10/2021 13:06:04;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;1;1;Screen 1;advancementZone;continue_button;3871.5;;;;;0;1;0;;;;;;Finish;;;
10;1634724364387;20/10/2021 10:06:04;1634724364205;3;20/10/2021 13:06:04;55551;22;task-9nll;;16530708;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Necker Cube task (Finnish);8;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;END TASK;;;;;105977;;;;;0;1;0;;;;;;;;;
1;1635085643668;24/10/2021 14:27:23;1635085647756;3;24/10/2021 17:27:27;55551;22;task-9nll;;16634971;BLIND;4916307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1366x768;1366x643;Openminded Chunk;Necker Cube task (Finnish);8;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;
2;1635085657312;24/10/2021 14:27:37;1635085661466;3;24/10/2021 17:27:41;55551;22;task-9nll;;16634971;BLIND;4916307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1366x768;1366x643;Openminded Chunk;Necker Cube task (Finnish);8;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;13472;;;;;0;1;0;;;;;;Instructions;;;
3;1635085662296;24/10/2021 14:27:42;1635085666438;3;24/10/2021 17:27:46;55551;22;task-9nll;;16634971;BLIND;4916307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1366x768;1366x643;Openminded Chunk;Necker Cube task (Finnish);8;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone1;continue_keyboard;4938;;;;;0;1;0;;;;;;Trial 1;space;;cube.PNG
4;1635085675847;24/10/2021 14:27:55;1635085680002;3;24/10/2021 17:28:00;55551;22;task-9nll;;16634971;BLIND;4916307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1366x768;1366x643;Openminded Chunk;Necker Cube task (Finnish);8;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;13530;;;space;1;1;0;0;;;;;;Trial 1;space;;cube.PNG
