Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;harjoitustehtävä_stimuli;harjoitustehtävä_vastaus;Task_stimuli_6;Task_stimuli_8;ANSWER
1;1634715217273;20/10/2021 07:33:37;1634715217193;3;20/10/2021 10:33:37;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;
2;1634715220166;20/10/2021 07:33:40;1634715220105;3;20/10/2021 10:33:40;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;2864.5;;;;;0;1;0;;;;;;Ohjeet;;;;;
3;1634715221484;20/10/2021 07:33:41;1634715221414;3;20/10/2021 10:33:41;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;continue_button;1297.6999999999534;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
4;1634715230233;20/10/2021 07:33:50;1634715230168;3;20/10/2021 10:33:50;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;likert;response_rating_scale_likert;8745.90000000014;;;4;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
5;1634715230341;20/10/2021 07:33:50;1634715230169;3;20/10/2021 10:33:50;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;continueButton;continue_button;8745.90000000014;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
6;1634715232423;20/10/2021 07:33:52;1634715232377;3;20/10/2021 10:33:52;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;2;1;3;Screen 3;advancementZone;continue_button;2204.3000000000466;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
7;1634715233745;20/10/2021 07:33:53;1634715233687;3;20/10/2021 10:33:53;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;2;1;4;Screen 4;advancementZone;continue_button;1305.1000000000931;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
8;1634715235983;20/10/2021 07:33:55;1634715235935;3;20/10/2021 10:33:55;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;2;1;5;Screen 5;advancementZone;continue_button;2244;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
9;1634715242482;20/10/2021 07:34:02;1634715242452;3;20/10/2021 10:34:02;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;3;1;1;Screen 1;likert;response_rating_scale_likert_active;6509.200000000186;;;4;1;1;0;0;;;;;;Tehtävä_6;;;A11_tehtävä1.png;;4
10;1634715246036;20/10/2021 07:34:06;1634715245992;3;20/10/2021 10:34:05;55551;22;task-tg12;;16526203;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Matrix reasoning task (Finnish);8;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;likert;response_rating_scale_likert_active;3529.8000000000466;;;4;1;0;1;0;;;;;;Tehtävä_6;;;B12_tehtävä2.png;;5
