"AMean","CMean","EMean","ESMean","OMean","ICuriositySum","DCuriositySum","IH1Sum","IH2Sum","IH3Sum","IH4Sum","CloSum","CogSum","AOTSum","HEscore","HRscore","RPSum","sci_cur","sci_tru","sci_impo","sci_id","MatrixCorrectCount","GNGdprime","GNGbetalog","MeanGoRT","SDGoRTlog","GlobalToLocalInterferencelog","GlobalToLocalPrecedencelog","NeckerTotalRatelog","FlexSum"
5.5,5.5,3.5,6,5.5,25,21,22,24,22,16,46,92,44,1,0,2,19,16,20,19,8,2.36729433876278,-0.932659561010433,373.742268041237,2.05342096760733,0.66884077964407,0.0633899194734429,-0.234083206033368,23
4.5,5,6,5,5.5,22,16,20,18,20,16,48,75,40,0,1,1,13,16,18,15,7,3.21053798258628,-0.925739655376436,428.547297297297,1.89308870260174,0.49547050716384,0.0878249035619198,-0.286789556549371,33
4,3.5,6,6,6,23,21,19,21,18,19,44,95,42,0,0,2,17,18,17,18,6,1.57256636152551,-0.621964665897514,355.958188153316,1.97175759139507,0.484814279748482,0.0770354632720825,-0.176091259055681,34
7,5.5,5.5,6,7,24,19,14,18,20,16,33,105,39,0,0,1,16,12,18,20,5,2.39665723810494,-0.794233215379214,501.892361111318,2.1515666885815,0.476114932004563,0.0991211689395054,-0.273001272063738,15.5
4.5,4,5,5,5,21,13,10,20,16,15,58,72,47,1,1,3,11,18,18,16,9,4.0454716827152,-1.60494491243631,520.027333331108,1.83468480059533,0.495071751658529,0.0838953210477019,-0.144682794804057,41
5.5,6,6.5,6,6.5,25,20,25,25,22,19,36,99,45,1,1,2,20,19,20,20,5,2.5505337649367,-0.18390529607818,533.953237410062,2.1334794104158,0.451155219329963,0.0849250831056927,-0.273001272063738,26
1.5,5,3,2,5.5,16,16,25,18,18,16,52,63,45,1,0,2,15,15,16,16,5,3.33653231703243,-1.05335463954123,447.921885523732,1.93178679696348,0.543466608589159,0.071617490351042,-0.234083206033368,33
6.5,4,5.5,4,5.5,24,16,22,24,20,16,39,90,48,1,0,3,14,19,20,20,7,3.33984372479466,-1.31566550130371,418.280201342278,1.96945852709172,0.511782941765448,0.0734447845544536,-0.0791812460476249,32
4,6,5,5,5,19,13,19,20,21,17,52,75,44,0,0,3,11,16,15,18,4,1.66164221563484,-0.0490407626437656,655.504867260435,2.24476040013985,0.631852726295642,0,-0.259637310505756,23
5,3,2.5,4,4.5,18,10,19,20,19,19,41,64,43,1,0,1,9,14,15,12,4,1.43870266420514,-0.260543633300526,480.947104247122,2.22454695041445,0.546425180794283,0.0684444163309708,-0.221848749616356,19
6,5,5,4,6,24,21,17,24,24,18,59,95,46,0,1,4,15,15,18,19,8,2.30049823895096,-1.42543762430329,290.589297654637,1.69753914317392,0.494821952458588,0.0824092522080354,-0.144682794804057,28
4,3,3.5,5,4.5,23,13,15,20,21,21,51,84,45,1,0,3,14,17,19,17,5,2.71872887870873,-0.958803535806418,415.728474579827,1.93892558026184,0.537242908425185,0.0689550255203106,-0.165367393663908,33
3.5,5,6,6,4.5,22,19,16,25,23,18,40,103,40,0,1,3,12,16,14,19,7,4.0454716827152,-1.60494491243631,415.538333333135,1.95833695440909,0.606135318207484,0.0300501344883966,-0.221848749616356,41
4.5,4.5,2.5,7,6,21,18,24,19,18,16,51,87,39,0,0,0,11,14,14,14,9,2.32087139892782,-1.01900124704797,420.189419793594,1.95704461988588,0.53408237099906,0.070764732701922,-0.286789556549371,22
7,1.5,3,2,5.5,24,14,8,25,25,25,31,71,46,1,1,3,12,18,20,13,8,2.09639724379746,-0.886486418529339,355.864505119189,1.86307140566533,0.551897361245832,0.0646380173993659,-0.154901959985743,39
5,3.5,3.5,6,3,16,14,13,23,15,17,49,79,40,1,0,3,13,16,17,20,5,1.08112417181995,-0.49735780736334,310.633574007227,1.85912898914962,0.587168168450086,0.0670058814179616,-0.259637310505756,26.5
4.5,3.5,6,3,6.5,24,18,16,23,20,15,56,81,40,0,0,2,12,15,18,16,7,3.51261469615977,-1.79998565710366,394.213666666628,1.87762983952293,0.549590916195415,0.0695188342913831,-0.176091259055681,39.5
5,3.5,1.5,6,7,20,16,11,21,22,20,56,90,45,1,0,3,12,18,19,13,8,2.23963862150264,-0.718316605668188,355.780068728522,1.87131272105863,0.463082505087848,0.0788695666473424,-0.221848749616356,27
6.5,4,6,4,6.5,22,16,16,20,24,14,55,84,31,1,0,0,12,17,16,15,5,1.65269445023563,-0.965425667839982,320.429054054054,1.82588147153805,0.46176052245303,0.0900379730675558,-0.221848749616356,33
5,3,1.5,6,4.5,19,10,22,24,17,20,57,64,46,0,1,2,15,18,18,14,6,1.84644029861279,-0.620474767639071,407.67615658363,2.04564736895268,0.41530893415066,0.101771539027164,-0.198367653766833,14
5,5,3.5,6,5,24,19,17,22,21,15,54,93,46,1,1,3,17,17,20,19,6,2.84865803212285,-0.597542650116327,493.073195876227,2.09537426888002,0.556559408669521,0.0600776379454114,-0.246672333341389,43
3,5.5,3,2,5,24,19,22,22,20,19,71,88,39,0,1,4,18,18,16,18,7,2.88657524587684,-1.87159026565821,342.364646464699,1.94856891470385,0.520863968400235,0.0573020962535761,-0.0969100130080564,23
6.5,6.5,4,6,5,18,15,13,17,19,16,51,85,39,0,1,3,8,15,15,15,6,2.56427901474623,-0.502347391098053,473.948251767592,2.03748930056113,0.521806661222293,0.0656315027343978,-0.246672333341389,41
4.5,6,6,5,5.5,24,18,25,22,24,19,50,92,41,0,1,4,17,19,20,19,6,2.67641582976336,-1.43988975725168,375.522408024523,1.93957388197492,0.486803112996224,0.080421397772706,-0.259637310505756,17
5,4.5,4.5,7,6,23,17,14,21,20,17,55,82,39,1,0,2,17,17,20,18,4,3.54217206119768,-1.79239715269284,417.343333333333,1.9162580487439,0.521860256069421,0.0765539115449198,-0.198367653766833,32
4.5,5,4,5,5.5,20,17,18,23,20,18,58,72,37,0,1,4,15,12,11,15,7,3.64142136781957,-1.19600119802419,368.681655518356,1.82718445617156,0.536361238625408,0.0626639362008543,-0.273001272063738,23
5.5,3,3.5,2,5.5,20,16,10,20,17,18,68,60,40,0,0,0,10,11,17,16,8,3.87756403511883,-1.67971016762409,390.546666666668,1.81408923597329,0.484332085257813,0.0846212402631438,-0.301029995663981,21
5.5,4,5.5,2,3.5,16,12,11,22,18,20,57,62,38,1,1,2,11,14,15,16,5,2.39290618019766,-0.484675942111741,468.908833924747,2.07467470972861,0.504536719894751,0.0853907757162545,-0.221848749616356,24
5.5,3,6,3,5.5,25,23,23,25,20,22,37,84,44,1,1,3,12,14,20,17,5,3.12430051626825,-1.37698818616315,377.309030087895,1.91325473620911,0.571035399948279,0.0815695886565508,-0.221848749616356,46.5
6.5,4,4,5,6,21,13,12,23,22,16,68,71,36,1,0,3,18,16,17,17,6,2.60180045293105,-1.44190302894273,360.509731541944,1.78226978702736,0.520957126912606,0.0714804777719208,-0.198367653766833,32
6,2.5,3,1,5,16,10,13,19,14,24,63,66,42,1,1,4,12,18,18,13,9,3.29855679159095,-1.06856646134537,503.189261744686,2.04900343971626,0.596353091110351,0.0542301154642886,-0.165367393663908,28
3.5,3.5,2,5,5.5,20,17,16,22,18,24,48,75,43,1,1,4,14,10,19,15,7,3.91694812898018,-1.66327252598392,374.818333334923,1.75046800135308,0.51689121295948,0.0768945577143415,-0.301029995663981,21
4,5.5,5,5,4.5,18,12,19,19,15,19,52,77,42,1,0,2,11,18,19,16,5,2.88113500516823,-0.41457740143362,512.601423487545,2.1547304953626,0.573791585193263,0.0753101861840794,-0.273001272063738,33
6,4,5.5,4,6.5,25,19,19,25,23,17,48,77,39,0,1,1,13,15,19,14,5,3.37591641089377,-1.03691699790106,419.328523493053,1.93366567790029,0.524334106607818,0.0747367443649682,-0.234083206033368,32
5,3.5,4,6,5,19,9,25,22,20,18,51,85,49,0,1,3,15,15,17,19,8,3.4168836938686,-1.01910378412259,419.100671140938,1.93669504222197,0.570729408397029,0.0582499691360997,-0.144682794804057,37
6.5,4,6.5,6,6.5,21,16,18,24,24,24,50,62,48,0,0,1,12,17,17,9,8,3.03566787566427,-1.86997865416076,356.586666666667,1.81544864909577,0.496931865624385,0.0760170203080327,-0.00729923874149942,22
4.5,5,2.5,5,5.5,22,19,20,23,19,24,52,79,43,1,0,2,18,17,20,18,7,1.24403833575966,0.0942673050669461,540.131979695431,2.20393288299705,0.636472456472258,0.0599591552508994,-0.187086643357144,25
5.5,4.5,2.5,7,5,21,16,18,22,19,20,55,84,45,0,1,4,17,15,18,17,8,2.76162191011944,-1.86550518055934,319.368333333322,1.90006367308959,0.480708799110365,0.0693113619662045,-0.154901959985743,29
6,5.5,5.5,6,2,17,13,12,19,18,18,67,63,40,1,1,3,12,12,17,15,8,2.23577212340806,-0.766533001455406,356.170205478391,1.83766100827453,0.511467867995768,0.0802500265416631,-0.221848749616356,25
6,5,5,6,5,24,19,22,21,21,16,41,91,49,1,1,2,11,16,17,17,7,1.2578905641089,-0.384301280957154,355.115094339819,1.92844629579319,0.444337229904887,0.0974926351303139,-0.134698573897456,26
5.5,5.5,5,5,6,21,15,17,20,19,17,51,78,33,0,0,2,18,15,15,18,5,1.21938046013836,-0.120941268797345,425.231623931653,2.08752746360795,0.489624158639434,0.0853817872615362,-0.209949526316649,48
3.5,6,7,6,7,24,18,25,18,23,20,39,101,38,1,1,1,14,18,19,19,8,1.85832466263347,-0.749889887296494,418.398625429553,1.92619979429783,0.527964976654099,0.0725961083245773,-0.234083206033368,23
6.5,2,5.5,7,6,24,17,18,24,24,21,39,97,49,0,1,4,13,12,19,18,9,2.50870778440827,-0.770325337820968,481.917808219178,2.0536253896544,0.54011361157646,0.0637803417633859,-0.221848749616356,19
4.5,2,7,1,5.5,25,15,25,21,24,16,37,101,45,0,1,2,15,15,20,20,8,2.24027600836786,-0.944407834111846,414.344368601822,1.97901552878978,0.543972125460618,0.0629457941043642,-0.154901959985743,32
5,4,3,4,4,20,16,14,20,16,16,55,74,43,0,1,3,15,17,19,18,6,2.09283828578136,-1.22591799064242,364.089562289577,1.85418268866522,0.660467153977625,0.0632921284570661,-0.154901959985743,21
5,3.5,2.5,4,6,25,22,22,22,19,18,52,91,46,0,1,2,18,14,20,19,6,1.54261758818484,-0.516738562804415,319.794223826715,1.80662308949328,0.776458131031826,0.064669242797926,-0.273001272063738,25
5.5,4.5,5.5,3,5,14,9,19,20,24,16,53,65,39,1,1,1,8,15,16,13,4,3.45964169563408,-0.999734566850416,474.403355704858,1.94813451667191,0.32311994938303,0.128514621823135,-0.106053392447926,42
3.5,2,6.5,2,7,25,25,17,25,21,17,68,92,46,1,0,2,20,16,20,19,6,1.20011375776367,-0.55392279311962,359.746212121205,2.04054216629379,0.544839032314554,0.0706752828872545,-0.198367653766833,43
5,6.5,4,4,1.5,14,10,13,17,17,18,68,57,36,0,0,3,11,19,14,15,6,2.90542608050313,-1.41861162205408,373.412457912445,1.76651377441139,0.499521205453345,0.0778418366420087,-0.221848749616356,11
6.5,4.5,4.5,6,5.5,21,13,24,22,20,17,45,81,33,1,1,3,11,16,16,13,9,2.04395243321653,-1.10713733964333,331.496632995027,1.82238583364555,0.448043237611226,0.0910867665277036,-0.259637310505756,22
3,4.5,4,3,4.5,21,20,11,21,12,16,80,81,47,0,0,3,19,18,20,19,6,2.3427010299258,-0.803800675714957,371.750853242321,1.91953970722161,0.531993207759709,0.0601717521174571,-0.209949526316649,31.5
5.5,5.5,3.5,7,6,24,15,22,15,21,16,48,60,33,1,1,2,13,8,16,16,8,0.879770477588164,-0.411087692968873,385.428163265391,2.11205558692853,0.505150741767033,0.0914249369787042,-0.165367393663908,26
5,3.5,4.5,6,4,24,13,19,23,20,20,48,85,45,1,1,4,20,17,19,18,9,2.92187125409371,-0.799284220688226,385.106440678188,1.947560815856,0.450791623155705,0.0961276471185524,-0.301029995663981,37
6,5.5,4,6,5.5,22,16,20,21,19,20,38,88,44,1,1,3,18,15,17,17,8,1.87631945090706,-0.53918511346992,369.622261483815,2.09739836445538,0.487104875618066,0.0896156262296391,-0.301029995663981,36
4,3.5,2,6,2.5,14,10,23,17,17,21,67,52,42,0,1,2,12,16,16,12,7,2.49895628661342,-0.913086110435446,446.359589041096,2.11740049903142,0.494216244866883,0.0953076988208228,-0.187086643357144,6
6,6,5,6,6,23,16,16,23,21,19,66,86,42,0,1,3,13,15,16,19,7,2.04395243321653,-1.10713733964333,353.400340150003,1.89814128920495,0.476373738453235,0.0781712468244646,-0.259637310505756,28
4.5,6.5,5.5,6,7,25,13,25,25,23,22,37,99,48,0,1,3,20,20,19,19,8,1.23998042961709,-0.455177746966197,477.536400001526,2.25941125954104,0.490199665076417,0.0744688532626057,-0.301029995663981,16.5
4.5,4,2.5,3,5,22,16,18,25,17,25,45,85,48,1,0,3,12,17,20,15,8,3.48355256216916,-1.80707708307223,388.04033333327,1.81847619581198,0.501730223077314,0.0790115286859358,-0.234083206033368,37
3.5,3.5,4,5,4.5,20,20,22,20,19,17,49,94,40,0,1,4,16,17,18,18,8,2.81652650963661,-1.05310657082458,395.04680134679,1.97607755225224,0.498852036785722,0.0759478886244742,-0.209949526316649,23
6,6.5,5.5,7,6.5,23,18,17,23,19,17,55,103,46,1,1,2,12,14,20,17,2,2.426039560943,-0.731531697598036,491.531849316538,2.03008416131238,0.662222480292252,0.0674293135632702,-0.259637310505756,30
5,6.5,5,7,6,22,16,25,23,23,16,54,85,44,1,1,3,19,17,16,16,9,1.0433926278422,-0.0267240491299483,442.289215686275,2.17274519236049,0.511904154502391,0.0839743395315718,-0.0457574905606751,37
6.5,4,1,2,7,22,18,23,24,20,16,47,77,47,1,0,2,13,15,16,16,7,2.31606613786557,-0.938240891689037,409.08440677756,1.8512178749943,0.487226970109791,0.0733624850396112,-0.234083206033368,28
5.5,4.5,2,6,6,21,13,22,19,21,18,47,79,44,0,0,2,14,18,19,20,6,2.80744490605291,-0.936006816464614,447.043581082209,1.84159347144622,0.506955545056697,0.0747851332240171,-0.209949526316649,22.5
4,5,3,4,4.5,20,18,17,18,20,16,55,66,44,0,1,2,15,15,17,14,7,2.42219334810532,-1.01019506876166,391.32094594587,1.86195528073159,0.559476295930801,0.071133331925014,-0.209949526316649,37
3.5,3,6,3,5.5,20,19,19,24,22,17,33,88,45,1,0,3,14,17,19,17,9,3.21053798258628,-0.925739655376436,475.702702702703,2.02082049508255,0.469473541241862,0.0898244550636805,-0.221848749616356,37
3,6.5,3,6,3.5,17,12,25,19,24,16,57,58,44,1,0,2,8,17,18,18,6,4.0454716827152,-1.60494491243631,457.523333333334,1.81743044694743,0.531865119016312,0.0696880560167631,-0.198367653766833,35
5,3,4,2,7,24,19,22,23,19,15,44,85,44,0,0,3,16,16,18,18,7,2.67641582976336,-1.43988975725168,344.780936454846,1.76149798748909,0.415368256795857,0.10494479263388,-0.221848749616356,54.5
5.5,6.5,3.5,4,5.5,19,16,9,23,25,20,56,76,43,0,1,3,7,11,11,14,7,2.74995628655832,-1.2184417751226,352.597972972973,1.91671350445609,0.48823399627531,0.0862937865247552,-0.198367653766833,19
6,5.5,3.5,6,5.5,24,22,12,16,23,13,66,96,42,0,0,2,13,16,19,19,7,2.36864182313172,-1.11600814191311,344.826351357473,1.77975185717944,0.4790776480321,0.0808772582090241,-0.187086643357144,47
4.5,3,4,4,5,23,19,15,20,21,18,46,97,46,1,1,3,16,18,20,15,9,2.69756197568086,-1.22591799064242,380.936026936027,2.13862365773351,0.557320658518948,0.058434866378466,-0.176091259055681,44
6,4.5,4,5,4.5,23,14,16,18,21,18,46,93,42,0,0,3,18,16,17,19,8,3.1127403516584,-0.831436620358273,431.806779661017,1.9908931283023,0.539038425755329,0.0773426891274872,-0.187086643357144,30
4.5,4.5,3.5,3,6.5,20,17,17,22,23,16,32,74,41,0,0,4,18,15,19,18,7,1.25901009407426,-0.761321087274369,328.045328717125,1.97748429706378,0.505347203383678,0.0752232857713809,-0.144682794804057,24
4.5,6.5,7,3,5.5,20,23,14,23,19,17,69,89,33,1,0,3,8,18,15,19,4,2.67641582976336,-1.43988975725168,360.851677852589,1.84532037698182,0.551990572496741,0.0694929592810844,-0.1249387366083,31
3.5,4.5,6,3,4,20,14,20,17,20,17,50,83,37,1,0,2,15,15,19,18,6,3.06750489819737,-1.3897879507284,427.225752512747,1.97197064851594,0.493202040591753,0.0811792683890814,-0.198367653766833,24
3.5,2.5,2,3,5,19,16,20,24,21,17,48,86,46,1,0,3,12,13,18,12,7,2.26374891600637,-0.815521773474014,488.995138894456,2.0680681510726,0.507822004016254,0.0752803614722713,-0.165367393663908,32
3,5,5,5,4,19,16,19,16,13,13,51,85,43,1,0,3,13,15,20,19,9,4.63634889843149,-1.2444837554668,503.714381275368,2.01965294457773,0.528874060603012,0.0657162233186962,-0.11539341870207,32.5
5.5,6,5.5,6,5.5,20,18,12,22,20,17,39,88,40,1,1,3,16,14,16,17,7,1.29520921838724,-0.266060550525528,484.726377953577,2.22188709968708,0.522619330411663,0.0569849724794156,-0.246672333341389,24
5,6,6,6,6.5,20,15,21,19,24,17,27,86,43,1,0,1,15,15,16,13,3,2.75194542820904,-0.771951985662795,492.326369863055,2.04228501450029,0.461857969780395,0.082581728367947,-0.187086643357144,29
4.5,6,4.5,2,6,24,21,14,24,17,19,61,79,42,0,1,4,14,15,18,20,6,1.07244912750777,0.207025900974274,587.102666666582,2.26068932968609,0.633543883373704,0.0213789126718935,-0.209949526316649,30
4,5,6.5,5,5,18,12,16,18,17,19,45,84,42,1,1,3,9,15,20,18,8,2.84865803212285,-0.597542650116327,475.801034482793,2.04604490873595,0.568319179816165,0.0648247581015974,-0.234083206033368,35.5
