Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;END QUESTIONNAIRE
1;1642101390235;13/01/2022 19:16:30;1642101389931;2;13/01/2022 21:16:29;55551;24;questionnaire-tam4;;18500506;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Debrief (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;
1;1642152094177;14/01/2022 09:21:34;1642152093368;2;14/01/2022 11:21:33;55551;24;questionnaire-tam4;;18507419;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Debrief (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;74725
1;1642177053657;14/01/2022 16:17:33;1642177053568;2;14/01/2022 18:17:33;55551;24;questionnaire-tam4;;18516004;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Debrief (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;77186
1;1642270870196;15/01/2022 18:21:10;1642270872020;2;15/01/2022 20:21:12;55551;24;questionnaire-tam4;;18537737;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Debrief (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;75123
1;1642271031652;15/01/2022 18:23:51;1642271031551;2;15/01/2022 20:23:51;55551;24;questionnaire-tam4;;18537753;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1190x664;Openminded Chunk;Debrief (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;47974
1;1642277557988;15/01/2022 20:12:37;1642277555148;2;15/01/2022 22:12:35;55551;24;questionnaire-tam4;;18538935;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Debrief (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;45385
1;1642330577114;16/01/2022 10:56:17;1642330576975;2;16/01/2022 12:56:16;55551;24;questionnaire-tam4;;18543484;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Debrief (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;15283
1;1642356197616;16/01/2022 18:03:17;1642356199501;2;16/01/2022 20:03:19;55551;24;questionnaire-tam4;;18548164;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Debrief (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;26409
1;1642435343071;17/01/2022 16:02:23;1642435342182;2;17/01/2022 18:02:22;55551;24;questionnaire-tam4;;18569584;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Debrief (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;122373
1;1642447787627;17/01/2022 19:29:47;1642447776473;2;17/01/2022 21:29:36;55551;24;questionnaire-tam4;;18576269;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Debrief (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;60666
