Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;response;response_count;Image
1;1642775022397;21/01/2022 14:23:42;1642775022605;2;21/01/2022 16:23:42;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;
2;1642775050514;21/01/2022 14:24:10;1642775050630;2;21/01/2022 16:24:10;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;28004;;;;;0;1;0;;;;;;Instructions;;;
3;1642775056789;21/01/2022 14:24:16;1642775057009;2;21/01/2022 16:24:17;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone1;continue_keyboard;6370;;;;;0;1;0;;;;;;Trial 1;space;;cube.PNG
4;1642775058405;21/01/2022 14:24:18;1642775058631;2;21/01/2022 16:24:18;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;1618;;;space;1;1;0;0;;;;;;Trial 1;space;;cube.PNG
5;1642775059541;21/01/2022 14:24:19;1642775059796;2;21/01/2022 16:24:19;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;2783;;;space;2;1;0;0;;;;;;Trial 1;space;;cube.PNG
6;1642775060674;21/01/2022 14:24:20;1642775060903;2;21/01/2022 16:24:20;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;3889;;;space;3;1;0;0;;;;;;Trial 1;space;;cube.PNG
7;1642775062795;21/01/2022 14:24:22;1642775063038;2;21/01/2022 16:24:23;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;6025;;;space;4;1;0;0;;;;;;Trial 1;space;;cube.PNG
8;1642775064154;21/01/2022 14:24:24;1642775064390;2;21/01/2022 16:24:24;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;7378;;;space;5;1;0;0;;;;;;Trial 1;space;;cube.PNG
9;1642775066141;21/01/2022 14:24:26;1642775066368;2;21/01/2022 16:24:26;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;9355;;;space;6;1;0;0;;;;;;Trial 1;space;;cube.PNG
10;1642775067566;21/01/2022 14:24:27;1642775067809;2;21/01/2022 16:24:27;55551;25;task-9nll;;18726667;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;10796;;;space;7;1;0;0;;;;;;Trial 1;space;;cube.PNG
