Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;closure1;closure1-quantised;closure2;closure2-quantised;closure3;closure3-quantised;closure4;closure4-quantised;closure5;closure5-quantised;closure6;closure6-quantised;closure7;closure7-quantised;closure8;closure8-quantised;closure9;closure9-quantised;closure10;closure10-quantised;closure11;closure11-quantised;closure12;closure12-quantised;closure13;closure13-quantised;closure14;closure14-quantised;closure15;closure15-quantised;END QUESTIONNAIRE
1;1634636358350;19/10/2021 09:39:18;1634636358243;3;19/10/2021 12:39:18;55551;22;questionnaire-mz16;;16491389;BLIND;4877584;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;1920x1200;1260x780;Openminded Chunk;Need for Closure Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;2;2;5;5;3;3;5;5;5;5;3;3;3;3;4;4;5;5;2;2;3;3;2;2;3;3;59845
1;1634742530100;20/10/2021 15:08:50;1634742529998;3;20/10/2021 18:08:49;55551;22;questionnaire-mz16;;16541200;BLIND;4886773;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1920x1200;1481x944;Openminded Chunk;Need for Closure Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;4;4;2;2;4;4;5;5;5;5;5;5;4;4;4;4;2;2;3;3;3;3;1;1;4;4;78053
1;1635008644096;23/10/2021 17:04:04;1635008653267;2;23/10/2021 19:04:13;55551;22;questionnaire-mz16;;16625031;BLIND;4914191;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1536x864;1536x722;Openminded Chunk;Need for Closure Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;4;4;4;4;4;4;4;4;6;6;4;4;3;3;6;6;6;6;5;5;3;3;2;2;3;3;78367
1;1635944346420;03/11/2021 12:59:06;1635944346326;2;03/11/2021 14:59:06;55551;22;questionnaire-mz16;;16851908;BLIND;4986367;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1920x1080;1829x967;Openminded Chunk;Need for Closure Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;5;5;4;4;2;2;5;5;5;5;2;2;2;2;6;6;4;4;3;3;3;3;2;2;5;5;65141
1;1638046959463;27/11/2021 21:02:39;1638046960240;2;27/11/2021 23:02:40;55551;22;questionnaire-mz16;;17526709;BLIND;5175309;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1280x720;1280x577;Openminded Chunk;Need for Closure Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;5;5;5;5;5;5;1;1;6;6;5;5;4;4;5;5;6;6;6;6;5;5;5;5;3;3;5;5;40354
1;1641765512445;09/01/2022 21:58:32;1641765512315;2;09/01/2022 23:58:32;55551;22;questionnaire-mz16;;18391367;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Need for Closure Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;1;1;1;1;1;1;1;1;1;1;1;6;6;4;4;5;5;1;1;1;1;4;4;2;2;1;1;1;1;58580
1;1641894739970;11/01/2022 09:52:19;1641894739769;2;11/01/2022 11:52:19;55551;22;questionnaire-mz16;;18420140;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Need for Closure Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;5;5;3;3;4;4;4;4;5;5;5;5;3;3;3;3;5;5;5;5;2;2;2;2;3;3;2;2;106816
1;1641842106580;10/01/2022 19:15:06;1641842106408;2;10/01/2022 21:15:06;55551;22;questionnaire-mz16;;18412377;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Need for Closure Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;3;3;4;4;3;3;5;5;5;5;2;2;2;2;4;4;4;4;3;3;4;4;3;3;4;4;118872
1;1641827778467;10/01/2022 15:16:18;1641827778330;2;10/01/2022 17:16:18;55551;22;questionnaire-mz16;;18404484;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Need for Closure Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;4;4;4;4;3;3;2;2;5;5;5;5;5;5;5;5;3;3;3;3;3;3;2;2;3;3;74901
1;1641822641412;10/01/2022 13:50:41;1641822641311;2;10/01/2022 15:50:41;55551;22;questionnaire-mz16;;18401668;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Need for Closure Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;2;2;2;2;5;5;4;4;4;4;4;4;3;3;4;4;2;2;4;4;3;3;1;1;3;3;101707
