Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Icuriosity1;Icuriosity1-quantised;Dcuriosity1;Dcuriosity1-quantised;Icuriosity2;Icuriosity2-quantised;Dcuriosity2;Dcuriosity2-quantised;Icuriosity3;Icuriosity3-quantised;Dcuriosity3;Dcuriosity3-quantised;Icuriosity4;Icuriosity4-quantised;Dcuriosity4;Dcuriosity4-quantised;Icuriosity5;Icuriosity5-quantised;Dcuriosity5;Dcuriosity5-quantised;END QUESTIONNAIRE
1;1643353955460;28/01/2022 07:12:35;1643353983500;2;28/01/2022 09:13:03;55551;25;questionnaire-2wlk;;18951617;BLIND;5614189;;complete;;;computer;Desktop or Laptop;Linux i686;Firefox 78.0;1680x1050;1680x898;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;1;1;5;5;4;4;5;5;2;2;5;5;5;5;4;4;5;5;45768
1;1643380849321;28/01/2022 14:40:49;1643380849146;2;28/01/2022 16:40:49;55551;25;questionnaire-2wlk;;18963952;BLIND;5616968;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1301x732;1302x659;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;4;4;5;5;4;4;5;5;2;2;5;5;3;3;57019
1;1643388299272;28/01/2022 16:44:59;1643388299118;2;28/01/2022 18:44:59;55551;25;questionnaire-2wlk;;18967928;BLIND;5618126;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1280x587;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;4;4;3;3;5;5;4;4;3;3;4;4;4;4;3;3;65203
1;1643407425317;28/01/2022 22:03:45;1643407425713;2;29/01/2022 00:03:45;55551;25;questionnaire-2wlk;;18974816;BLIND;5621289;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1536x711;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;4;5;5;4;4;23116
1;1643554325548;30/01/2022 14:52:05;1643554328354;2;30/01/2022 16:52:08;55551;25;questionnaire-2wlk;;18994364;BLIND;5626669;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x613;Reasoning Chunk;Epistemic Curiosity Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;;No;5;5;3;3;4;4;4;4;4;4;5;5;4;4;5;5;2;2;4;4;60873
1;1643617931767;31/01/2022 08:32:11;1643617931634;2;31/01/2022 10:32:11;55551;25;questionnaire-2wlk;;19005630;BLIND;5629594;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x722;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;1;1;4;4;1;1;4;4;2;2;3;3;2;2;1;1;3;3;52092
1;1643618697666;31/01/2022 08:44:57;1643618697558;2;31/01/2022 10:44:57;55551;25;questionnaire-2wlk;;19005718;BLIND;5629626;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1280x720;1024x462;Reasoning Chunk;Epistemic Curiosity Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;4;4;2;2;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;43226
1;1643623653142;31/01/2022 10:07:33;1643623653009;2;31/01/2022 12:07:33;55551;25;questionnaire-2wlk;;19007145;BLIND;5629995;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1440x900;1416x710;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;29174
1;1643633354908;31/01/2022 12:49:14;1643633338772;2;31/01/2022 14:48:58;55551;25;questionnaire-2wlk;;19012447;BLIND;5631076;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1440x900;1440x693;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;3;3;2;2;3;3;2;2;3;3;3;3;2;2;2;2;54499
1;1643649156898;31/01/2022 17:12:36;1643649150000;2;31/01/2022 19:12:30;55551;25;questionnaire-2wlk;;19024579;BLIND;5634435;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x754;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;5;5;1;1;5;5;4;4;5;5;3;3;3;3;4;4;45975
