Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Icuriosity1;Icuriosity1-quantised;Dcuriosity1;Dcuriosity1-quantised;Icuriosity2;Icuriosity2-quantised;Dcuriosity2;Dcuriosity2-quantised;Icuriosity3;Icuriosity3-quantised;Dcuriosity3;Dcuriosity3-quantised;Icuriosity4;Icuriosity4-quantised;Dcuriosity4;Dcuriosity4-quantised;Icuriosity5;Icuriosity5-quantised;Dcuriosity5;Dcuriosity5-quantised;END QUESTIONNAIRE
1;1642099309256;13/01/2022 18:41:49;1642099308988;2;13/01/2022 20:41:48;55551;24;questionnaire-2wlk;;18499940;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;4;4;1;1;5;5;1;1;4;4;4;4;3;3;3;3;55418
1;1642148638289;14/01/2022 08:23:58;1642148637430;2;14/01/2022 10:23:57;55551;24;questionnaire-2wlk;;18506876;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;4;4;4;4;5;5;4;4;5;5;4;4;5;5;4;4;57668
1;1642173976590;14/01/2022 15:26:16;1642173976504;2;14/01/2022 17:26:16;55551;24;questionnaire-2wlk;;18514644;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;5;5;4;4;5;5;4;4;4;4;4;4;5;5;4;4;34313
1;1642267367744;15/01/2022 17:22:47;1642267369640;2;15/01/2022 19:22:49;55551;24;questionnaire-2wlk;;18537027;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;5;5;3;3;4;4;4;4;4;4;3;3;2;2;4;4;66160
1;1642268340891;15/01/2022 17:39:00;1642268340789;2;15/01/2022 19:39:00;55551;24;questionnaire-2wlk;;18537299;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1192x664;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;5;5;4;4;5;5;2;2;4;4;4;4;5;5;5;5;63564
1;1642275023003;15/01/2022 19:30:23;1642275020168;2;15/01/2022 21:30:20;55551;24;questionnaire-2wlk;;18538559;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;3;3;5;5;4;4;4;4;4;4;4;4;4;4;65162
1;1642328833559;16/01/2022 10:27:13;1642328834777;2;16/01/2022 12:27:14;55551;24;questionnaire-2wlk;;18543277;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;4;4;3;3;24472
1;1642329228974;16/01/2022 10:33:48;1642329228825;2;16/01/2022 12:33:48;55551;24;questionnaire-2wlk;;18543330;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;2;2;5;5;4;4;4;4;4;4;1;1;4;4;31196
1;1642432417123;17/01/2022 15:13:37;1642432416224;2;17/01/2022 17:13:36;55551;24;questionnaire-2wlk;;18565737;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;2;2;4;4;3;3;2;2;4;4;3;3;3;3;2;2;2724166
1;1642447697626;17/01/2022 19:28:17;1642447686456;2;17/01/2022 21:28:06;55551;24;questionnaire-2wlk;;18576238;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;4;4;33772
