Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;END QUESTIONNAIRE
1;1642769928766;21/01/2022 12:58:48;1642769928952;2;21/01/2022 14:58:48;55551;25;questionnaire-ddu6;;18723044;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;General Instructions (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5277
1;1642789095124;21/01/2022 18:18:15;1642789094744;2;21/01/2022 20:18:14;55551;25;questionnaire-ddu6;;18738716;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;General Instructions (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;9000
1;1642855015280;22/01/2022 12:36:55;1642855078280;2;22/01/2022 14:37:58;55551;25;questionnaire-ddu6;;18756169;BLIND;5552405;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x625;Decision Chunk;General Instructions (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;;;;No;2565
1;1642889701741;22/01/2022 22:15:01;1642889701128;2;23/01/2022 00:15:01;55551;25;questionnaire-ddu6;;18767643;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;General Instructions (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2056
1;1642927656918;23/01/2022 08:47:36;1642927656522;2;23/01/2022 10:47:36;55551;25;questionnaire-ddu6;;18771424;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;General Instructions (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7850
1;1642933562437;23/01/2022 10:26:02;1642933561083;2;23/01/2022 12:26:01;55551;25;questionnaire-ddu6;;18772865;BLIND;5556093;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1366x768;1301x626;Openminded Chunk;General Instructions (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5169
1;1642950742010;23/01/2022 15:12:22;1642950747121;2;23/01/2022 17:12:27;55551;25;questionnaire-ddu6;;18779405;BLIND;5557743;;live;;;computer;Desktop or Laptop;Mac OS 10.11.6;Chrome 49.0.2623.112;1440x900;1440x805;Decision Chunk;General Instructions (Finnish);6;FGEHDICJBKALNM;Decision Chunk;;;;No;41544
1;1642968607296;23/01/2022 20:10:07;1642968606732;2;23/01/2022 22:10:06;55551;25;questionnaire-ddu6;;18787602;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1302x690;Openminded Chunk;General Instructions (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6286
1;1643021328543;24/01/2022 10:48:48;1643021328393;2;24/01/2022 12:48:48;55551;25;questionnaire-ddu6;;18797860;BLIND;5562166;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1462x762;Openminded Chunk;General Instructions (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6792
1;1643047926713;24/01/2022 18:12:06;1643047925690;2;24/01/2022 20:12:05;55551;25;questionnaire-ddu6;;18821596;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;General Instructions (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2410
1;1643055218382;24/01/2022 20:13:38;1643055218241;2;24/01/2022 22:13:38;55551;25;questionnaire-ddu6;;18827338;BLIND;5571263;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1280x800;1247x605;Decision Chunk;General Instructions (Finnish);6;KLJMINHAGBFCED;Decision Chunk;;;;No;2919
1;1643112335849;25/01/2022 12:05:35;1643112334462;2;25/01/2022 14:05:34;55551;25;questionnaire-ddu6;;18844964;BLIND;5578226;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1680x1050;1680x899;Reasoning Chunk;General Instructions (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3257
1;1643297210081;27/01/2022 15:26:50;1643297209423;2;27/01/2022 17:26:49;55551;25;questionnaire-ddu6;;18931955;BLIND;5608075;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;2560x1440;2560x1340;Openminded Chunk;General Instructions (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2389
1;1643349456541;28/01/2022 05:57:36;1643349484626;2;28/01/2022 07:58:04;55551;25;questionnaire-ddu6;;18951206;BLIND;5614189;;complete;;;computer;Desktop or Laptop;Linux i686;Firefox 78.0;1680x1050;1680x898;Openminded Chunk;General Instructions (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6113
1;1643376651940;28/01/2022 13:30:51;1643376651803;2;28/01/2022 15:30:51;55551;25;questionnaire-ddu6;;18962103;BLIND;5616968;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1301x732;1302x659;Openminded Chunk;General Instructions (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3788
1;1643385393235;28/01/2022 15:56:33;1643385393110;2;28/01/2022 17:56:33;55551;25;questionnaire-ddu6;;18966218;BLIND;5618126;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1745x800;Openminded Chunk;General Instructions (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5574
1;1643405941299;28/01/2022 21:39:01;1643405941681;2;28/01/2022 23:39:01;55551;25;questionnaire-ddu6;;18974402;BLIND;5621289;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1536x711;Openminded Chunk;General Instructions (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1080
1;1643552522608;30/01/2022 14:22:02;1643552525425;2;30/01/2022 16:22:05;55551;25;questionnaire-ddu6;;18993957;BLIND;5626669;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x613;Reasoning Chunk;General Instructions (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;;No;4714
1;1643615260064;31/01/2022 07:47:40;1643615256321;2;31/01/2022 09:47:36;55551;25;questionnaire-ddu6;;19005198;BLIND;5629594;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x722;Openminded Chunk;General Instructions (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5285
1;1643616320000;31/01/2022 08:05:20;1643616319871;2;31/01/2022 10:05:19;55551;25;questionnaire-ddu6;;19005325;BLIND;5629626;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1280x720;1280x577;Reasoning Chunk;General Instructions (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3558
1;1643621775174;31/01/2022 09:36:15;1643621774910;2;31/01/2022 11:36:14;55551;25;questionnaire-ddu6;;19006604;BLIND;5629995;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1440x900;1416x710;Openminded Chunk;General Instructions (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2863
1;1643628848392;31/01/2022 11:34:08;1643628832294;2;31/01/2022 13:33:52;55551;25;questionnaire-ddu6;;19010049;BLIND;5631076;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1440x900;1440x693;Openminded Chunk;General Instructions (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4345
1;1643645122691;31/01/2022 16:05:22;1643645115834;2;31/01/2022 18:05:15;55551;25;questionnaire-ddu6;;19021210;BLIND;5634435;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x754;Openminded Chunk;General Instructions (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2233
1;1643651752702;31/01/2022 17:55:52;1643651753457;2;31/01/2022 19:55:53;55551;25;questionnaire-ddu6;;19026846;BLIND;5635997;;live;;;computer;Desktop or Laptop;Windows 8.1;Firefox 96.0;1280x720;1280x570;Science Chunk;General Instructions (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;;;No;6967
1;1643695317413;01/02/2022 06:01:57;1643695317310;2;01/02/2022 08:01:57;55551;25;questionnaire-ddu6;;19045814;BLIND;5641501;;complete;;;computer;Desktop or Laptop;Linux x86_64;Firefox 91.0;1920x1080;1920x897;Openminded Chunk;General Instructions (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3371
1;1643730713250;01/02/2022 15:51:53;1643730714525;2;01/02/2022 17:51:54;55551;25;questionnaire-ddu6;;19059842;BLIND;5645930;;complete;;;computer;Desktop or Laptop;Windows 7;Chrome 97.0.4692.99;1920x1080;1920x969;Openminded Chunk;General Instructions (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4952
1;1643752075729;01/02/2022 21:47:55;1643752075639;1;01/02/2022 22:47:55;55551;25;questionnaire-ddu6;;19070485;BLIND;5649003;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x577;Openminded Chunk;General Instructions (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2398
1;1643788749635;02/02/2022 07:59:09;1643788749595;2;02/02/2022 09:59:09;55551;25;questionnaire-ddu6;;19075217;BLIND;5650356;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1298x618;Openminded Chunk;General Instructions (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1854
1;1643806719541;02/02/2022 12:58:39;1643806719047;2;02/02/2022 14:58:39;55551;25;questionnaire-ddu6;;19084453;BLIND;5653211;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x609;Openminded Chunk;General Instructions (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2002
1;1643806753471;02/02/2022 12:59:13;1643806752940;2;02/02/2022 14:59:12;55551;25;questionnaire-ddu6;;19084474;BLIND;5653192;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1315x711;Openminded Chunk;General Instructions (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6272
