Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;extroversionNormal;extroversionNormal-quantised;agreeablenessReverse;agreeablenessReverse-quantised;conscientiousnessNormal;conscientiousnessNormal-quantised;emotionalStabilityReverse;emotionalStabilityReverse-quantised;opennessNormal;opennessNormal-quantised;extroversionReverse;extroversionReverse-quantised;agreeablenessNormal;agreeablenessNormal-quantised;conscientiousnessReverse;conscientiousnessReverse-quantised;emotionalStabilityNormal;emotionalStabilityNormal-quantised;opennessReverse;opennessReverse-quantised;END QUESTIONNAIRE
1;1645689525857;24/02/2022 07:58:45;1645689525750;2;24/02/2022 09:58:45;55551;25;questionnaire-w8n1;;19752189;BLIND;5867681;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 98.0.4758.80;1920x1080;1561x945;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;6;6;5;5;6;6;3;3;5;5;2;2;6;6;3;3;76486
1;1645545849107;22/02/2022 16:04:09;1645545867763;2;22/02/2022 18:04:27;55551;25;questionnaire-w8n1;;19687805;BLIND;5849414;;complete;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.99;1366x768;1227x582;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;4;4;4;4;5;5;1;1;4;4;2;2;5;5;3;3;161637
1;1645530248018;22/02/2022 11:44:08;1645530247192;2;22/02/2022 13:44:07;55551;25;questionnaire-w8n1;;19676188;BLIND;5845513;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.56;1280x720;1280x578;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;6;6;6;6;6;6;4;4;6;6;2;2;2;2;2;2;73941
1;1645526572165;22/02/2022 10:42:52;1645526571998;2;22/02/2022 12:42:51;55551;25;questionnaire-w8n1;;19674254;BLIND;5844536;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.0;1920x1080;1292x823;Science Chunk;Big 5 Personality TIPI (Finnish);4;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;;;No;6;6;2;2;5;5;2;2;6;6;2;2;6;6;2;2;5;5;3;3;102355
1;1645497477387;22/02/2022 02:37:57;1645497477181;2;22/02/2022 04:37:57;55551;25;questionnaire-w8n1;;19668628;BLIND;5842153;;complete;;;computer;Desktop or Laptop;Windows 8.1;Edge 98.0.1108.43;1920x1200;777x481;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;6;6;2;2;7;7;1;1;4;4;2;2;6;6;2;2;38467
1;1645434558202;21/02/2022 09:09:18;1645434558013;2;21/02/2022 11:09:18;55551;25;questionnaire-w8n1;;19633321;BLIND;5828423;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1920x1080;1569x849;Reasoning Chunk;Big 5 Personality TIPI (Finnish);4;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;6;6;4;4;6;6;2;2;7;7;3;3;6;6;2;2;7;7;4;4;51015
1;1645189759902;18/02/2022 13:09:19;1645189758768;2;18/02/2022 15:09:18;55551;25;questionnaire-w8n1;;19568416;BLIND;5808176;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1536x864;1536x722;Reasoning Chunk;Big 5 Personality TIPI (Finnish);4;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3;3;5;5;4;4;3;3;3;3;4;4;6;6;5;5;3;3;3;3;72490
1;1645173325739;18/02/2022 08:35:25;1645173325657;2;18/02/2022 10:35:25;55551;25;questionnaire-w8n1;;19561092;BLIND;5805972;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.82;1536x864;1536x722;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;5;5;3;3;5;5;3;3;3;3;3;3;5;5;5;5;56269
1;1645114483973;17/02/2022 16:14:43;1645114483557;2;17/02/2022 18:14:43;55551;25;questionnaire-w8n1;;19541929;BLIND;5798816;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1680x1050;1680x939;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;6;6;4;4;5;5;6;6;7;7;5;5;7;7;3;3;4;4;43306
1;1645044033778;16/02/2022 20:40:33;1645044033218;2;16/02/2022 22:40:33;55551;25;questionnaire-w8n1;;19512662;BLIND;5791357;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.82;1280x720;1280x569;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;5;5;4;4;4;4;2;2;3;3;4;4;3;3;4;4;68030
1;1644926663365;15/02/2022 12:04:23;1644926663238;2;15/02/2022 14:04:23;55551;25;questionnaire-w8n1;;19455482;BLIND;5774889;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.82;1920x1080;1920x937;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;6;6;7;7;7;7;5;5;1;1;7;7;2;2;3;3;2;2;80159
1;1644710388590;12/02/2022 23:59:48;1644710388392;2;13/02/2022 01:59:48;55551;25;questionnaire-w8n1;;19404323;BLIND;5758833;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1440x900;1440x821;Reasoning Chunk;Big 5 Personality TIPI (Finnish);4;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;;No;1;1;2;2;6;6;3;3;5;5;6;6;6;6;5;5;2;2;1;1;92150
1;1644695262548;12/02/2022 19:47:42;1644695262912;2;12/02/2022 21:47:42;55551;25;questionnaire-w8n1;;19402612;BLIND;5758326;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 97.0;1184x666;1184x570;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;6;6;2;2;5;5;5;5;6;6;5;5;5;5;4;4;69711
1;1644567028015;11/02/2022 08:10:28;1644567028964;2;11/02/2022 10:10:28;55551;25;questionnaire-w8n1;;19365972;BLIND;5747184;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1280x720;1280x616;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;4;4;5;5;5;5;4;4;5;5;6;6;4;4;3;3;30791
1;1644440593461;09/02/2022 21:03:13;1644440612807;2;09/02/2022 23:03:32;55551;25;questionnaire-w8n1;;19322921;BLIND;5731864;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1366x768;1242x597;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;6;6;5;5;6;6;6;6;6;6;3;3;6;6;3;3;20858
1;1644181161672;06/02/2022 20:59:21;1644181161495;2;06/02/2022 22:59:21;55551;25;questionnaire-w8n1;;19219775;BLIND;5693701;;live;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1824x1140;1753x965;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;6;6;3;3;2;2;5;5;1;1;5;5;5;5;3;3;2;2;106033
1;1644178482745;06/02/2022 20:14:42;1644178657799;2;06/02/2022 22:17:37;55551;25;questionnaire-w8n1;;19218976;BLIND;5693586;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.43;1366x768;1366x625;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;5;5;4;4;6;6;5;5;4;4;5;5;2;2;4;4;4;4;150888
1;1644148294167;06/02/2022 11:51:34;1644148294063;2;06/02/2022 13:51:34;55551;25;questionnaire-w8n1;;19208687;BLIND;5691497;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 95.0.4638.69;1280x800;1280x702;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;3;3;6;6;7;7;6;6;6;6;6;6;5;5;6;6;2;2;156739
1;1644136556325;06/02/2022 08:35:56;1644136557619;2;06/02/2022 10:35:57;55551;25;questionnaire-w8n1;;19206148;BLIND;5691188;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x609;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;1;2;2;3;3;2;2;7;7;7;7;7;7;3;3;2;2;1;1;42413
